hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
15.75,[249],[258],20.416603,10.015797145999208,99366.445,36.341927,45.05863,0.048265137,0.025640411,-9.764957,-11.29278,0.42975956,0.29412103,71.468735,68.006294,195,86,0.8883161474714684,5.2852597,5.324611,17.8145,17.362898,3186.3545,172.845,253.005,218.16122,183.66315,0.7859104,0.63530135,45.938038,17.697824,1.9550124129596937,1.2895537047936323,0.16039441379207284,0.18798777006100872,45.93803787231445,17.697824478149414,10.366447448730469,9.845765113830566,33689,38448,3029,1225,6208,5187,556,649,1402,1872,0,0,2271,375,0,0,0.00015156511,0.00013907172,0.0003198503,0.000173945,5.7753557e-05,3.7891663e-05,0.00059978216,0.00069506513,5.6890012e-06,5.2839473e-06
16.0,[254],[262],20.713299,9.763711029241065,99292.83,39.73895,48.620434,0.056160107,0.022669485,-7.9603195,-8.632514,0.43358216,0.28861,71.62355,68.25737,125,103,0.8593439329185474,5.279249,5.323795,16.99187,16.956802,3149.3237,162.825,253.005,218.78467,184.97198,0.85075796,0.5793274,28.929947,18.350178,2.1621483654990827,1.2494427086132518,0.16658819974698513,0.2021344464941289,28.929946899414062,18.350177764892578,10.546716690063477,12.017953872680664,29861,42276,3115,1670,5406,5174,461,666,1109,2025,0,0,2181,379,0,0,0.00016805173,0.00012765986,0.00034672837,0.00018591415,5.6271154e-05,3.4634155e-05,0.00057869015,0.00067990756,5.7715665e-06,5.0803283e-06
16.25,[257],[264],21.219002,9.95709627776738,99298.06,46.088036,37.65544,0.07713387,0.01781569,-10.924674,-11.952989,0.4819821,0.28123492,71.78163,68.71694,133,112,1.7303544305439627,5.2573566,5.324363,17.846731,17.333958,3130.7583,142.785,253.005,224.3072,186.5042,0.93627787,0.51630217,34.614487,16.110985,2.266145716346782,1.1754235633976076,0.18351018867835595,0.17111286622112074,34.61448669433594,16.110984802246094,10.726314544677734,8.064977645874023,22981,49156,2609,2319,4746,5874,114,771,426,2349,0,0,2840,394,0,0,0.0001826596,0.00011820389,0.0004161367,0.00018338779,6.17314e-05,3.1027874e-05,0.00058472203,0.00067778514,6.593009e-06,4.5888833e-06
16.5,[259],[261],20.257875,10.560825290618006,99249.68,32.555244,41.839634,0.17028315,0.02829869,-9.652765,-14.844823,0.8181764,0.32394934,72.04203,69.594444,54,190,2.8396208706246675,5.2165494,5.302909,17.3749,17.798138,3076.2751,62.625,253.005,275.08954,195.31999,1.7144871,0.55028826,35.771805,19.306915,3.0507225367006194,1.363087379616476,0.38159570896009576,0.16096202794434358,35.77180480957031,19.306915283203125,6.459915637969971,8.106438636779785,4421,67716,1270,4096,1995,8555,7,911,73,2743,0,0,1559,1370,0,0,0.00028498645,0.00012648375,0.0009843048,0.00021924397,0.00013250604,3.7490456e-05,0.0005192963,0.00063851586,9.223765e-06,5.096692e-06
16.75,[259],[261],20.912144,11.142359769189513,99197.83,33.91667,44.142097,0.19735084,0.031193025,-7.876638,-8.715608,0.85193413,0.33285964,72.362,69.64936,42,200,2.830272411834669,5.2290654,5.3023252,16.563673,17.820787,3044.5352,52.605,253.005,283.75204,197.36264,2.1515644,0.5941597,29.171003,26.053055,3.745522553141326,1.4976022218653127,0.35473845561942907,0.16143096982277286,29.171003341674805,26.053054809570312,4.070033073425293,16.08014678955078,3125,69012,859,4643,1488,8998,0,919,109,2813,0,0,1178,1818,0,0,0.00032935335,0.00013156528,0.001005422,0.0002438002,0.00012315146,3.946818e-05,0.0004900167,0.0006338663,8.531322e-06,5.12099e-06
17.0,[254],[247],21.5705,14.14261043548584,99254.95,46.949257,36.313854,0.11369471,0.02950498,-8.027652,-15.184397,0.64489883,0.33344144,71.4576,69.5985,43,189,0.7696103803015206,5.192305,5.3096004,17.409302,17.84864,3087.0693,72.645,258.015,292.17902,200.01204,1.3796862,0.5960848,29.628525,19.327425,3.437640778813354,1.4607726966716925,0.2675865943352427,0.14654689645467936,29.628524780273438,19.327425003051758,8.583662033081055,8.033123970031738,5957,69048,1938,3759,1856,9241,0,949,109,2958,0,0,1462,1749,0,0,0.0002410595,0.00013611937,0.0007314027,0.00023469812,8.405749e-05,4.094108e-05,0.00044213628,0.0006382762,7.9116435e-06,5.0635426e-06
17.25,[250],[250],22.290508,11.72400032015557,99205.016,27.133463,40.68558,0.099701375,0.033532783,-9.607118,-11.510677,0.5507736,0.3401466,71.4163,69.58003,20,243,1.1541228650067485,5.1535325,5.3056,16.614992,18.218166,3072.527,72.645,258.015,285.13962,200.31578,1.2371053,0.6336405,27.521723,28.688036,3.1257420174346633,1.5382698667888213,0.2635590399372211,0.15554947596986146,27.5217227935791,28.68803596496582,10.067557334899902,10.245553016662598,5957,69048,1987,3734,1837,9690,46,981,143,3310,0,0,1392,1632,0,0,0.0002160152,0.00014373958,0.00070259935,0.0002456845,6.2802945e-05,4.0840554e-05,0.00043519033,0.0006617972,6.426489e-06,4.9588803e-06
17.5,[248],[253],20.933844,12.37364593338459,99136.65,28.400208,40.65016,0.17885266,0.03667006,-4.348955,-15.962075,0.7022929,0.35791746,72.827835,69.653114,5,239,0.5263494637239784,5.302037,5.28978,16.177664,18.692177,2977.775,32.565,258.015,306.49863,204.81644,2.7990134,0.6470479,29.211533,25.840124,4.4911140966640755,1.5486158092126254,0.6724066566520494,0.17654879929129855,29.211532592773438,25.840124130249023,10.053328514099121,10.12833023071289,1201,73804,248,5366,602,11428,0,1166,9,3355,0,0,515,2762,0,0,0.00032509523,0.00014660007,0.0010610733,0.0002839444,9.869765e-05,4.4677003e-05,0.00035148565,0.00060662255,7.4278187e-06,5.0793083e-06
17.75,[250],[252],21.53885,12.566667336098691,99031.22,15.467012,42.879,0.16252449,0.037115484,-3.5486917,-10.225896,0.6068069,0.35798174,73.35698,69.69687,3,252,1.1084942043257635,5.325416,5.288796,15.802271,17.363874,2968.9988,32.565,258.015,309.7823,205.46367,2.2807462,0.6688983,19.103321,41.169262,3.3086921461706256,1.5878010801311426,0.8734671627108196,0.2023355887721284,19.103321075439453,41.16926193237305,11.251754760742188,11.609052658081055,1201,73804,187,5254,604,11286,0,1060,6,3043,0,0,488,3195,0,0,0.0003708908,0.0001492552,0.000983087,0.00029103618,6.727821e-05,4.296164e-05,0.0004541457,0.0006068262,6.288297e-06,4.8937554e-06
18.0,[250],[252],21.503391,13.033288990563534,98973.79,30.291319,41.828876,0.11991348,0.03570688,-8.574687,-9.585371,0.5944854,0.35953984,71.3072,69.758316,29,224,1.5266400426466817,5.2291317,5.291158,17.777637,17.361448,3002.9092,62.625,253.005,317.29715,202.69505,1.3495498,0.6658019,28.099485,23.108734,3.028158955917956,1.5983638352439182,0.414289000582402,0.18781763532387916,28.099485397338867,23.108734130859375,11.408509254455566,15.845596313476562,4421,67716,1646,4271,1522,10029,46,1191,307,3128,0,0,846,2197,0,0,0.0002908127,0.00014904751,0.0007326059,0.00028244982,5.6977715e-05,4.3459277e-05,0.00049321743,0.0006402957,6.0287807e-06,4.928481e-06
18.25,[249],[253],21.662777,13.414565956338922,98911.73,24.898544,45.555107,0.19450521,0.03490852,-5.8895664,-10.976135,0.7339628,0.364411,71.82858,69.76369,33,236,1.0158370371078917,5.271818,5.2832117,16.984764,17.804716,2970.5024,52.605,253.005,332.73083,204.14539,2.0080626,0.68474865,36.56071,28.001406,4.11004380796926,1.6709867323788108,0.3831265218902466,0.1954596261330267,36.56071090698242,28.001405715942383,6.257617950439453,9.354161262512207,3125,69012,1185,5273,1330,10186,11,1208,237,3106,0,0,863,2153,0,0,0.0003484844,0.00013922194,0.0008389229,0.0002932905,8.698771e-05,4.229776e-05,0.00043928417,0.0006082921,7.4136656e-06,4.9201917e-06
18.5,[249],[255],21.753235,14.124476902301495,98906.74,15.925274,44.21192,0.22490774,0.03627848,-4.307074,-10.957364,0.7610278,0.3615052,73.40322,69.753975,1,233,0.6175834046372932,5.2645917,5.2765713,16.551128,16.96787,2941.7478,42.585,253.005,340.9024,205.06796,2.6841629,0.66216826,27.083641,22.608757,4.084761452420246,1.6579955671785782,0.41022782306329814,0.1902620590970288,27.083641052246094,22.60875701904297,4.890195846557617,10.408276557922363,2053,70084,603,6263,1261,10150,0,1238,18,3055,0,0,1023,2136,0,0,0.00036617718,0.00013918447,0.0010632734,0.00030231505,9.591786e-05,4.189903e-05,0.00041014317,0.0005874314,6.6572807e-06,4.93841e-06
18.75,[250],[255],22.686832,14.294493926488435,98895.8,18.975243,35.728195,0.16332737,0.03739872,-5.58184,-13.6855135,0.61082476,0.3680891,72.14603,69.791985,17,256,1.0681251838800732,5.2420273,5.2689023,15.434789,17.799328,2964.8684,52.605,253.005,341.72873,203.02985,1.9056106,0.6559643,22.191027,27.9452,3.305297165492918,1.5640864238428338,0.4002163691434978,0.19475542152610342,22.19102668762207,27.945199966430664,6.058063507080078,12.024454116821289,3125,69012,1156,5722,1597,10327,0,1234,2,3273,0,0,1353,2021,0,0,0.00030540515,0.00014281849,0.00096193055,0.0002993217,6.76689e-05,4.2482203e-05,0.0003514243,0.00062717166,5.7222787e-06,4.9698397e-06
19.0,[250],[253],21.979977,14.904068994522095,98867.77,17.358849,38.226902,0.14783598,0.039367493,-4.366854,-9.558296,0.6005508,0.37660646,73.10105,69.832184,3,248,0.8741411229429268,5.288505,5.2651453,15.7933,17.380339,2932.248,42.585,253.005,356.58466,205.81992,2.264697,0.6971556,27.398401,23.498121,3.381422954914955,1.612190882770498,0.6720329470733889,0.21465192179991394,27.398401260375977,23.49812126159668,6.632861614227295,8.719690322875977,2053,70084,537,6875,1198,11179,19,1315,113,3485,0,0,906,2225,0,0,0.0003236424,0.00015637743,0.0009804645,0.00031572688,7.356691e-05,4.4888715e-05,0.0003812136,0.0006056084,5.491616e-06,5.073707e-06
