hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,t2,w_max_inner,w_max_outer,w_mean_lower_inner,w_mean_lower_outer,w_mean_upper_inner,w_mean_upper_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,cloud_base_height,lcl_pdiff,theta_e,theta_e_inner,theta_e_outer,rinner_v,router_v,rinner_p,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,precip_sum_inner_v,precip_sum_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer,ni_mean_inner,ni_mean_outer,nr_mean_inner,nr_mean_outer,nc_mean_inner,nc_mean_outer,PE_max_outer,PE_max_inner,PE_mean_outer,PE_mean_inner
0.25,[250],[250],10.700735,10.69252322720993,99231.375,299.02817,0.030833237,0.018339176,0.00036388758,7.234603e-05,0.0002924793,-5.7818095e-05,0.00031063406,-2.47255e-05,-0.028041393,-0.019454071,0.0026617108,0.0014533866,45.476177,44.965454,0,0,0.008434342263941807,4.1687803,4.0741525,0.20127434,0.20070362,2347.2864,,,350.84396,353.13025,351.98697,202.905,232.965,368.23499999999996,168.0963,149.27016,5.245933e-05,9.6314754e-05,0.00014647342,0.00017761483,0.22484069,0.3871853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.00043000636,0.00035380936,0.00023300423,0.00012652013
0.5,[251],[250],10.549912,10.494836454912257,99235.85,299.0115,0.035050765,0.019102346,0.00026964734,7.483518e-05,0.00029938648,0.00022453917,0.00029182588,0.00018647878,-0.024928931,-0.012767315,0.0022494332,0.002043105,45.540676,45.028748,0,0,0.01275186700554119,4.159713,4.0741744,0.20127816,0.20075233,2425.6113,,,350.99783,353.41138,352.28995,202.905,227.95499999999998,4.509,161.35767,145.21254,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.75,[251],[250],10.490001,10.33943766726679,99240.65,298.99557,0.028601374,0.015292827,0.0005446945,-7.537509e-05,0.00038331866,0.0005802259,0.00042434645,0.00041354774,-0.025486685,-0.015533134,0.002173553,0.001979751,45.65463,45.112362,0,0,0.023166700408693272,4.155416,4.074321,0.20128119,0.20079486,2504.7805,,,351.14676,353.7743,352.63486,192.885,222.945,4.509,156.4046,143.4969,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,14068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.0,[251],[250],10.460458,10.21853592194917,99249.55,298.97687,0.028925125,0.017930891,0.000699389,-2.7333193e-05,-8.802173e-05,-0.00021051479,0.00011216738,-0.00016394322,-0.029020766,-0.020078719,0.0020989822,0.0019393201,45.72415,45.173626,0,0,0.023993349506517898,4.1470203,4.0743904,0.20128505,0.20082809,2575.5676,,,351.28964,354.02237,352.9035,192.885,217.935,4.509,151.32162,140.18703,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.25,[251],[251],10.47225,10.1266335663778,99245.016,298.95508,0.030463561,0.02110872,0.0008200871,-0.0001588305,-0.00082172756,-0.0010009701,-0.00040431664,-0.0007868667,-0.029433688,-0.019567795,0.0019434685,0.0016413189,45.79026,45.21929,0,0,0.032802872544630976,4.1340804,4.074275,0.201281,0.20084214,2638.2583,,,351.4248,354.23773,353.10553,192.885,217.935,4.509,147.16296,136.48468,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.5,[251],[250],10.504064,10.06033645095406,99243.13,298.9325,0.033966485,0.017349325,0.00074967166,-0.00024327035,-0.001812239,-0.0027141876,-0.0011609059,-0.0020859884,-0.031911425,-0.027774863,0.001903813,0.0017671115,45.85819,45.27362,0,0,0.019578612418616533,4.125522,4.074184,0.20128486,0.2008547,2696.9172,,,351.55255,354.41302,353.31116,192.885,212.92499999999998,4.509,143.83504,134.21992,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.75,[252],[250],10.553923,10.016309460460912,99244.72,298.91614,0.031500448,0.016251909,0.0006798155,-1.2816841e-05,-0.0032841905,-0.0024769292,-0.0022763924,-0.00185046,-0.03620614,-0.033053473,0.0020063112,0.0016585875,45.98545,45.342888,0,0,0.03616579812068914,4.1264806,4.0741982,0.20128061,0.20087081,2748.2654,,,351.667,354.63275,353.4959,182.86499999999998,212.92499999999998,4.509,142.19507,133.36597,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,13428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.0,[252],[250],10.615914,9.986236638036267,99240.89,298.90628,0.03071446,0.017624466,0.0008960211,7.749198e-05,-0.0038062218,-0.002430209,-0.0026107358,-0.0017926579,-0.03522201,-0.037234563,0.002241934,0.0018137553,46.057747,45.399426,0,0,0.05374350287323454,4.1220517,4.0741754,0.20128597,0.20087335,2773.3503,,,351.74536,354.6127,353.52032,182.86499999999998,207.915,4.509,141.93031,133.45146,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.25,[253],[250],10.682816,9.975288051298294,99241.63,298.90417,0.030948747,0.02228279,0.0013157298,6.203663e-05,-0.0026327737,-0.002951876,-0.001628916,-0.0021856271,-0.02725491,-0.026830435,0.0024872608,0.002093007,46.135616,45.43925,0,0,0.07385081845749891,4.11649,4.074055,0.20129131,0.20086259,2752.6743,,,351.75623,354.3581,353.28928,182.86499999999998,207.915,4.509,144.97337,135.37265,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.5,[253],[250],10.779698,9.975761521364994,99243.734,298.9099,0.02932042,0.018937796,0.0018565304,0.0006410982,-0.0006596171,-0.0005156398,-1.9918201e-05,-0.00022155383,-0.029350046,-0.02432523,0.0025230865,0.0020057037,46.22381,45.49568,0,0,0.08842144947611492,4.110193,4.073923,0.20128824,0.20083524,2667.2227,,,351.6844,353.92523,352.7078,182.86499999999998,202.905,4.509,150.32108,142.60739,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.75,250,251,10.869267,9.953190894875947,99247.64,298.91946,0.044204377,0.026210673,0.0024340644,0.001446209,0.0012040033,0.0018470422,0.0015167291,0.0017451355,-0.027834587,-0.020696329,0.0036301163,0.0041081533,46.405476,45.571686,0,0,0.10357771230612371,4.11015,4.0737853,0.20130424,0.20083617,2576.4236,,,351.57053,353.65305,352.1984,172.845,202.905,468.936,154.90636,150.08717,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3.0,[251],[251],10.960844,9.968483159006858,99255.7,298.93222,0.048240468,0.03338138,0.0027376744,0.001673804,0.0024343391,0.0014579105,0.0025114578,0.0015127972,-0.032675505,-0.039605383,0.0048283706,0.0041364003,46.522697,45.64282,0,0,0.1365167644335416,4.104958,4.073517,0.20130476,0.20079449,2518.3567,,,351.44528,353.26794,351.85123,172.845,202.905,4.509,159.85062,153.79477,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3.25,[252],[252],11.059166,9.975174696591436,99268.87,298.94635,0.06599831,0.063288644,0.0025636496,0.0010908673,0.0017622362,0.00062297756,0.001965982,0.000741932,-0.042114668,-0.06123633,0.0053000874,0.0044141063,46.642975,45.718193,0,0,0.12478680467181917,4.096607,4.073208,0.2012981,0.20077065,2472.7192,0.9972898364067078,,351.32214,352.95123,351.58502,172.845,202.905,4.509,163.89333,156.6384,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7118541e-10,,,,,,8.277633e-06,,,,,,0.00092277856,,3974088.5,,,,,
3.5,[253],[252],11.146019,9.982188005836642,99273.67,298.9583,0.1435496,0.06402495,0.0017049297,0.0011499468,-0.0007057195,0.00070448685,-9.284252e-05,0.00081773906,-0.07964563,-0.07394889,0.0046762503,0.0046922835,46.756676,45.792233,0,0,0.1229087891388123,4.0913973,4.072894,0.20128258,0.20076847,2434.149,0.9973506927490234,,351.21054,352.7576,351.38916,172.845,202.905,112.725,166.4058,158.71251,1.0378586e-09,,2.29451e-09,,3.9438625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5589534e-08,,,,,,4.5292105e-05,,,,,,0.29443946,,5126725.0,,,5.1586877e-09,,2.3375428e-09
3.75,250,252,11.276459,9.92320944340293,99275.28,298.96896,0.32181334,0.11507842,0.0010843199,0.0008804088,-0.001672955,-0.0018674819,-0.0009719532,-0.0011688655,-0.12236512,-0.07600106,0.0045820437,0.0035135662,46.86281,45.886242,0,0,0.1159459221094437,4.08735,4.072586,0.20127322,0.20078214,2415.1582,0.9973434805870056,,351.10773,352.6119,351.3298,172.845,197.89499999999998,468.936,167.04684,159.90846,0.00082306255,,0.005882161,,0.25350326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0259853e-07,,,,,,8.718411e-05,,,,,,0.6719589,,16277115.0,,,0.013158137,,0.0018429009
4.0,[251],[252],11.404796,9.933553814401431,99277.48,298.98032,1.0182667,0.10129158,0.00043779847,0.0010659534,-0.0020701133,-0.0023215949,-0.0014325087,-0.0014603538,-0.3287359,-0.088202104,0.005562756,0.0038729205,46.964546,45.968,0,0,0.11096846819989306,4.083757,4.072198,0.20125702,0.20079097,2411.6375,0.9974742531776428,49.420868,351.00348,352.50443,351.31598,172.845,197.89499999999998,92.685,168.39876,159.73009,0.0012035316,,0.013281779,,0.8653393,0.0,3.752659849531881e-10,,0.0012068887803370636,,4.841652634368643e-10,,0.013281779363751411,,33689,10420,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.968588e-08,,,,,,0.000100054596,,,,,,0.41540492,,39257596.0,,,0.029571349,,0.0026892214
4.25,[252],[252],11.8067255,9.951317916597638,99280.336,298.99286,7.111785,0.123624116,-0.00012857598,0.0010637069,-0.0020747334,-0.0027352949,-0.0015799474,-0.0017694469,-2.2298014,-0.09667088,0.008454389,0.0045700218,47.050514,46.056503,0,0,0.10375008081654442,4.078699,4.0717654,0.20124757,0.2007951,2411.708,1.0159947872161865,47.898273,350.8823,352.4009,351.29773,172.845,197.89499999999998,92.685,169.80441,159.70738,0.000758861,,0.050932296,,0.79300976,0.0,0.004851648269638286,,0.0005746855930950339,,0.05093229562044144,,0.031218037009239197,,33689,10420,23,0,46,0,0,0,11,0,0,0,0,0,0,0,5.480861e-07,,,,,,0.00016391432,1.3692725e-05,,,,,2.6074126,,90590620.0,27343488.0,,0.10403658,,0.0016455229
4.5,[266],[239],12.508465,9.993675659684573,99273.61,299.00778,19.647022,,-0.000256048,,-0.0017547407,,-0.0013737173,,-4.7263036,,0.019284168,,46.89793,,1,0,0.08240052655814885,4.0771646,,6.7088103,,,1.098070740699768,48.922016,350.72647,352.11084,,192.885,192.885,152.805,172.41902,,0.029457496,,1.8505499,,70.19721,0.0,0.09572799536672935,,0.002448250424008872,,1.8505499362945557,,0.256915807723999,,41929,0,182,0,858,0,0,0,356,0,0,0,0,0,0,0,4.0677336e-05,,2.3226063e-11,,9.561898e-09,,0.00032318404,,4.011803e-12,,4.1880827,,66.9617,,146929020.0,,,3.964807,,0.060835395
4.75,[235],[241],13.963767,9.577742435419518,99255.3,299.02567,20.398045,,-0.00039231917,,-0.0013317539,,-0.0010929148,,-4.1168375,,0.040331922,,46.70389,,10,0,0.16260345526763226,4.0908837,,14.528606,,,1.165292739868164,48.58605,350.53326,351.74478,,212.92499999999998,212.92499999999998,52.605,163.76488,,0.21008328,,10.4989195,,1127.517,0.0,0.40152449313063115,,0.04126322236476984,,10.498919486999512,,2.8761603832244873,,51101,0,553,0,2946,0,47,0,1205,0,0,0,0,0,0,0,0.00011277185,,5.9207927e-05,,6.2666586e-05,,0.00040077214,,7.3612955e-06,,1469040.9,,200.16971,,144245090.0,,,23.563995,,0.44147408
