hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,t2,w_max_inner,w_max_outer,w_mean_lower_inner,w_mean_lower_outer,w_mean_upper_inner,w_mean_upper_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,cloud_base_height,lcl_pdiff,theta_e,theta_e_inner,theta_e_outer,rinner_v,router_v,rinner_p,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,precip_sum_inner_v,precip_sum_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer,ni_mean_inner,ni_mean_outer,nr_mean_inner,nr_mean_outer,nc_mean_inner,nc_mean_outer,PE_max_outer,PE_max_inner,PE_mean_outer,PE_mean_inner
0.25,[250],[250],10.7083,10.69988795433435,99303.85,301.05646,0.030492177,0.018344527,0.00020092879,5.9813447e-05,0.00024815268,-0.00012546834,0.00023614654,-7.836278e-05,-0.026532415,-0.019202057,0.0027366015,0.0014267995,52.15393,51.572273,0,0,0.007544214288588614,4.8704343,4.8670454,0.20298268,0.20238733,2694.8726,,,360.60434,363.1156,361.86038,202.905,232.965,503.505,182.34018,162.063,3.0358822e-05,5.3342876e-05,9.318086e-05,0.0001017896,0.13011791,0.21443836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.00021464411,0.000196007,0.0001124013,6.37802e-05
0.5,[252],[250],10.5595455,10.501219343406756,99309.05,301.03912,0.02851554,0.019031137,0.00025398156,4.8539892e-05,0.00039792352,0.00011271622,0.00036132828,9.640022e-05,-0.017592555,-0.01714468,0.002251402,0.0019871793,52.22423,51.642017,0,0,0.010322086315057898,4.870326,4.86702,0.20298824,0.20243993,2781.2437,,,360.77695,363.42587,362.1915,202.905,227.95499999999998,4.509,175.04625,157.66913,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.75,[250],[250],10.496857,10.344811226422097,99313.8,301.02383,0.02360686,0.016767155,0.0005902826,-8.043517e-05,0.00049520505,0.0002032745,0.0005193769,0.00013114503,-0.0221668,-0.015452113,0.002102355,0.0017210551,52.2967,51.71128,0,0,0.018455861804481406,4.870255,4.867048,0.20298812,0.20247282,2861.76,,,360.94565,363.7222,362.50406,202.905,222.945,4.509,168.74141,153.76997,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.0,251,249,10.465924,10.222919308658922,99324.32,301.00784,0.026695784,0.017880622,0.00078525033,0.00011633719,-0.00010239791,-0.0003351925,0.00012327552,-0.0002203969,-0.025720209,-0.020071855,0.0020583007,0.0018492519,52.42773,51.802464,0,0,0.01843662331343591,4.8705063,4.867231,0.2029948,0.20251787,2947.4436,,,361.10873,364.1041,362.88214,192.885,217.935,4.509,164.25941,152.17491,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.25,[250],[250],10.470012,10.127898986522968,99318.09,300.98737,0.031069573,0.018495593,0.0006394406,-0.00024392629,-0.0008573077,-0.00093998143,-0.0004767782,-0.00076301803,-0.01971735,-0.016919725,0.0018180286,0.0016198548,52.499184,51.85285,0,0,0.0447287213066089,4.8702054,4.867045,0.20299058,0.2025454,3015.2769,,,361.25482,364.30527,363.10596,192.885,217.935,4.509,160.21387,148.24823,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.5,[251],[250],10.497736,10.058820459868882,99317.086,300.9689,0.03564704,0.016243445,0.0007281754,-0.00048030628,-0.0016963508,-0.003049115,-0.0010799457,-0.002396028,-0.030145008,-0.032795545,0.0018354981,0.0017263336,52.572025,51.910416,0,0,0.0391724319830187,4.869956,4.866894,0.20300119,0.20255704,3070.8657,,,361.38586,364.44778,363.28983,192.885,212.92499999999998,4.509,157.43909,146.37054,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1.75,[252],[250],10.542061,10.0078920566992,99319.08,300.95746,0.03723166,0.015198601,0.0004424554,-0.00022741377,-0.003222316,-0.0025220858,-0.0022905942,-0.0019386956,-0.031662256,-0.027546223,0.0018643438,0.001655813,52.64408,51.95269,0,0,0.027334230269956628,4.869798,4.866771,0.20300508,0.20257565,3111.6982,,,361.502,364.5485,363.3902,192.885,212.92499999999998,4.509,155.50429,144.28815,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.0,[252],[250],10.600407,9.97395605967876,99316.19,300.94998,0.028783128,0.017022915,0.0005236267,-2.1755575e-05,-0.0038913281,-0.0025031809,-0.0027688819,-0.0018723102,-0.030447219,-0.025885124,0.0021136205,0.0016505561,52.78765,52.041866,0,0,0.04086226383150586,4.869904,4.866832,0.20300756,0.20259862,3151.434,,,361.5873,364.64313,363.5155,182.86499999999998,207.915,4.509,155.73431,145.73462,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.25,[252],[251],10.666708,9.954782334324044,99316.48,300.94754,0.033943243,0.020746198,0.0010544372,0.00015021843,-0.0030433452,-0.0027980509,-0.0020015363,-0.002048491,-0.026240952,-0.021991033,0.002408524,0.0019211426,52.86884,52.087765,0,0,0.06024299677958208,4.869656,4.866649,0.20300867,0.20259735,3160.087,,,361.61227,364.37512,363.43622,182.86499999999998,207.915,4.509,158.64407,145.75287,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.5,[253],[251],10.770175,9.966193241975745,99317.17,300.95215,0.032258667,0.019478662,0.0015582225,0.00049123523,-0.0008673032,-0.0015355372,-0.00025064364,-0.0010202558,-0.023039829,-0.026114518,0.0023688427,0.0019854044,52.96061,52.15211,0,0,0.07482996940122678,4.869372,4.866481,0.20300497,0.20258717,3106.9329,,,361.54904,363.80356,363.02518,182.86499999999998,202.905,4.509,165.58363,150.87383,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2.75,[251],[251],10.862672,9.957910634060296,99319.53,300.96075,0.03364344,0.027051458,0.0021475914,0.001268804,0.00082823454,0.0016333568,0.001163664,0.0015406731,-0.02372391,-0.01780967,0.003091447,0.0037697188,53.15149,52.247776,0,0,0.08924069775355775,4.869335,4.8663177,0.20300904,0.20256977,3006.2454,,,361.4259,363.3462,362.32907,172.845,202.905,468.936,172.71588,160.25081,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3.0,[251],[250],10.956058,9.969309349449313,99326.14,300.97247,0.042916656,0.029394727,0.002821125,0.001403829,0.002664053,0.0010560731,0.0027039873,0.0011444853,-0.026814282,-0.027617954,0.0047904067,0.0036588586,53.276047,52.322277,0,0,0.10622203596149578,4.8689833,4.8660026,0.20300762,0.20251553,2926.6287,,,361.27332,362.91873,361.77774,172.845,202.905,4.509,177.95995,165.89294,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
