hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.7083,10.69988795433435,99303.85,,,0.00023711553,-4.298326e-05,-0.027847586,-0.019625297,52.15393,51.47743,0,0,0.007544214288588614,4.8704343,4.866511,0.20298268,0.20238733,2665.775,202.905,288.075,182.34018,145.40245,3.0358822e-05,4.9785463e-05,9.318086e-05,0.0001042669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,47076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[252],[250],10.5595455,10.501219343406756,99309.05,,,0.00037222242,9.343423e-05,-0.017723937,-0.01786751,52.22423,51.539448,0,0,0.010322086315057898,4.870326,4.8664746,0.20298824,0.20243993,2744.868,202.905,283.065,175.04625,142.36687,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,43880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[250],[250],10.496857,10.344811226422097,99313.8,,,0.0005224987,0.00018109125,-0.024036976,-0.017231803,52.2967,51.59362,0,0,0.018455861804481413,4.870255,4.8664494,0.20298812,0.20247282,2817.9167,202.905,283.065,168.74141,138.15202,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,43880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,251,249,10.465924,10.222919308658922,99324.32,,,0.00011922339,-0.00019600891,-0.026412321,-0.021809395,52.42773,51.662605,0,0,0.01843662331343591,4.8705063,4.8665032,0.2029948,0.20251787,2892.0093,192.885,283.065,164.25941,136.37984,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[250],[250],10.470012,10.127898986522968,99318.09,,,-0.00048113806,-0.0010650988,-0.020211486,-0.027533853,52.499184,51.717144,0,0,0.0447287213066089,4.8702054,4.8663764,0.20299058,0.2025454,2960.34,192.885,278.055,160.21387,134.41696,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[250],10.497736,10.058820459868882,99317.086,,,-0.0010851236,-0.0018602187,-0.03135774,-0.03460388,52.572025,51.757042,0,0,0.0391724319830187,4.869956,4.866162,0.20300119,0.20255704,3014.4265,192.885,278.055,157.43909,131.76222,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[252],[250],10.542061,10.0078920566992,99319.08,,,-0.0022786236,-0.0015916004,-0.033664487,-0.033214293,52.64408,51.798515,0,0,0.027334230269956628,4.869798,4.8660173,0.20300508,0.20257565,3059.617,192.885,278.055,155.50429,129.71863,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.600407,9.97395605967876,99316.19,,,-0.0027477264,-0.0015687317,-0.032197107,-0.03163204,52.78765,51.86072,0,0,0.04086226383150586,4.869904,4.865976,0.20300756,0.20259862,3099.5854,182.86499999999998,278.055,155.73431,130.08817,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,49444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[252],[251],10.666708,9.954782334324044,99316.48,,,-0.002003504,-0.0017558363,-0.026532417,-0.03211814,52.86884,51.90993,0,0,0.06024299677958208,4.869656,4.865858,0.20300867,0.20259735,3119.864,182.86499999999998,273.045,158.64407,130.92198,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,46336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[251],10.770175,9.966193241975745,99317.17,,,-0.00027010808,-0.00094854756,-0.025076251,-0.03136526,52.96061,51.95022,0,0,0.07482996940122678,4.869372,4.8656397,0.20300497,0.20258717,3103.8665,182.86499999999998,273.045,165.58363,132.50371,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,46336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.75,[251],[251],10.862672,9.957910634060296,99319.53,,,0.001136391,0.0011005267,-0.024749214,-0.03322371,53.15149,52.025185,0,0,0.08924069775355775,4.869335,4.8654494,0.20300904,0.20256977,3041.508,172.845,273.045,172.71588,138.8528,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,50320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
