hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
104.0,[255],[255],85.36387,74.22231521606446,87696.984,,23.709917,0.44051236,0.03169418,-4.4369373,-6.0605803,1.1942176,0.31071535,71.42575,65.682785,0,18,7.294868373717213,6.6833353,5.325299,11.023271,14.319626,2847.8792,32.565,368.23499999999996,1631.9565,295.30228,13.250141,1.2106793,35.759605,36.36015,16.256653607848797,3.3603610740687118,0.08610959154360108,0.2140666571217034,35.759605407714844,36.36014938354492,2.604220390319824,7.415942668914795,1201,151548,0,10030,937,11177,0,262,0,2590,0,0,901,6376,0,0,0.0011894383,0.0002637674,0.00026239225,0.00032078952,0.0002642598,2.0536105e-05,0.00069297035,0.0003950852,8.2875766e-07,9.133626e-07
104.25,[252],[255],87.70335,73.45873980888953,87669.734,,30.324348,0.45098382,0.030915992,-5.8881817,-9.79922,1.2190547,0.31495875,71.733215,65.70426,0,25,6.5987654204041,6.716718,5.325192,11.419438,16.19254,2839.991,32.565,368.23499999999996,1624.8508,295.84723,13.483678,1.210535,37.179092,35.57824,16.786559789365427,3.1432256111833863,0.09831308914430659,0.2555739372585764,37.17909240722656,35.57823944091797,2.450274705886841,8.478405952453613,1201,151548,0,9901,924,11875,0,287,0,2733,0,451,894,5896,0,0,0.0015405158,0.00025718758,0.00025414643,0.00032713072,0.00027559316,2.1497464e-05,0.0006912995,0.00039154652,8.1031203e-07,9.473058e-07
104.5,[252],[253],87.258896,73.70312784635104,87648.92,,26.123919,0.449937,0.031343836,-6.265436,-9.110178,1.2560719,0.31426987,72.08154,65.72354,0,22,7.36590692789477,6.7306337,5.3242,11.814303,15.435346,2831.2441,32.565,373.245,1617.4067,293.8447,14.26847,1.197094,43.878567,36.014435,17.60077814498419,3.0909614300823622,0.03860313881563,0.2702740819554939,43.87856674194336,36.014434814453125,1.1828643083572388,11.208417892456055,1201,155732,0,9924,948,11943,0,295,0,2771,0,0,894,6569,0,0,0.0015271179,0.0002623327,0.0002587535,0.00032631922,0.0002675553,2.1057898e-05,0.00071289006,0.0003854455,1.3202023e-06,9.428236e-07
104.75,[253],[251],86.52412,71.27442075289213,87695.42,,29.552485,0.42517918,0.0350743,-6.734073,-7.2396073,1.1709816,0.31555042,71.97843,65.69724,0,26,7.615719039536679,6.7169266,5.320199,12.903333,16.203436,2821.6626,32.565,373.245,1596.5275,294.9677,15.817223,1.1717939,46.88071,38.234444,19.227998836823808,3.1860324202505925,0.3063101028936355,0.26328084681024927,46.88071060180664,38.23444366455078,6.478020668029785,9.761542320251465,1201,155732,0,11100,955,11311,0,314,0,2533,0,0,885,6373,0,0,0.0013888171,0.00028286496,0.00039974856,0.00033090863,0.0002342854,2.4030636e-05,0.00059922965,0.0004088686,1.9615904e-06,1.0103834e-06
105.0,[253],[252],86.44593,73.30510069040152,87538.08,,20.535501,0.4499421,0.035054263,-7.0679917,-8.139289,1.1604387,0.31171194,72.13415,65.740654,0,40,7.611066549253182,6.7424383,5.3222666,11.817485,14.710184,2815.0127,32.565,378.255,1605.7892,292.85434,15.215633,1.2299435,44.88853,45.164417,18.55801052447485,3.4620367912246786,0.06352135582534488,0.2465400972565263,44.88853073120117,45.1644172668457,2.5297787189483643,7.863019943237305,1201,160000,2,11745,952,11390,0,283,0,2433,0,0,896,6569,0,0,0.001380221,0.0002830726,0.00032284294,0.00032746998,0.00022380333,2.439316e-05,0.00062798074,0.00040511973,1.6809813e-06,1.0986308e-06
105.25,[254],[253],85.761314,74.48585221217229,87650.41,,28.860819,0.42037946,0.033250716,-5.7489524,-9.418208,1.2147158,0.31291965,72.145996,65.787346,0,24,7.280253213555864,6.722509,5.3268747,12.551111,15.101243,2811.9612,32.565,383.265,1604.8442,290.73312,14.724128,1.2389644,47.309902,47.587116,17.772789103560235,3.534618921769371,0.014337771634003307,0.24764708939403152,47.30990219116211,47.58711624145508,0.4469558298587799,10.9238920211792,1201,164292,0,11634,965,11394,0,266,0,2455,0,0,893,6442,0,0,0.0013821982,0.00027672882,0.00027869994,0.00032372083,0.00026663285,2.4831017e-05,0.0006659409,0.00035903527,2.0651253e-06,1.1562511e-06
105.5,[255],[249],85.50593,64.8912667856588,87633.26,,32.34427,0.73014843,0.030399367,-5.9138565,-11.256385,1.5983386,0.3073412,74.4684,65.75517,0,56,6.99189525145005,6.467834,5.333374,13.656901,17.833189,2817.2722,37.574999999999996,383.265,1561.3385,288.14874,16.535826,1.0493823,43.15489,37.016907,18.68237628194076,3.0449006969475825,0.150491752305771,0.24317982305418764,43.15488815307617,37.01690673828125,5.087977886199951,9.108073234558105,1597,163896,0,10553,1374,10814,0,370,0,2117,0,0,1288,6162,0,0,0.0015326099,0.00024433504,0.0008516442,0.00032442837,0.0003367105,2.4371326e-05,0.0005167619,0.0003669598,8.83113e-06,1.2446844e-06
105.75,[255],[251],85.58994,69.02103266777931,87538.13,,31.672007,0.45797038,0.03503725,-5.488152,-9.440718,1.1531842,0.31845835,72.08212,65.85736,0,51,8.139759132483318,6.6974936,5.3306437,12.148951,15.457562,2812.0012,32.565,383.265,1612.4657,291.13092,15.329992,1.2836623,39.996952,39.53367,18.409415870512532,3.7642422590636775,0.15283732823941026,0.29657855315912507,39.996952056884766,39.533668518066406,3.6214048862457275,11.866922378540039,1201,164292,0,10758,966,10815,0,408,0,2675,0,0,903,5787,0,0,0.0012194498,0.00026800323,0.0004737037,0.000330716,0.00024428917,2.6327827e-05,0.00057613954,0.0003549724,1.5437244e-06,1.3481407e-06
106.0,[257],[252],86.71009,67.49057102203369,87538.164,,24.688904,0.67440414,0.032053046,-3.6291516,-6.606858,1.4183855,0.31613302,74.26175,65.846,0,36,8.300720991949563,6.467713,5.3281393,13.63864,15.837544,2818.3127,37.574999999999996,383.265,1587.8538,288.45734,15.118895,1.040354,42.968376,35.550446,17.272262340271265,3.0191663534954585,0.03427464879903089,0.2623722218592613,42.96837615966797,35.550445556640625,0.9177877306938171,13.72945499420166,1597,163896,0,10858,1366,10603,0,315,0,2457,0,0,1313,5907,0,0,0.00139119,0.00024511525,0.00089999824,0.00032909366,0.0002680322,2.4872239e-05,0.00056893454,0.00033907723,4.08953e-06,1.3482675e-06
106.25,[252],[254],86.19082,76.54724053602952,87475.87,,28.529427,0.56283295,0.03154137,-5.8777943,-7.1169496,1.4657903,0.31334665,72.30608,65.94046,0,27,8.378227801876708,6.774305,5.32974,11.437826,15.464032,2815.9692,32.565,398.29499999999996,1635.1826,282.6278,16.331524,1.1479944,48.261475,46.48553,19.539519719285025,3.4720823266373304,0.12445831416440963,0.2671031104924236,48.261474609375,46.485530853271484,3.437610626220703,10.37101936340332,1201,177528,0,11531,970,10705,0,290,0,2333,0,0,903,6432,0,0,0.0018446179,0.00024802508,0.00017096971,0.0003170762,0.00034616477,2.4426428e-05,0.00070686656,0.00032365267,1.2054137e-06,1.3397602e-06
106.5,[255],[253],86.08315,75.48435272803674,87435.67,,20.476006,0.49773774,0.032500193,-4.105423,-9.685509,1.2708738,0.3156756,71.884964,65.93198,0,39,8.3411837488023,6.7158155,5.3318295,11.3913,16.221308,2819.922,32.565,393.28499999999997,1634.9663,284.90472,15.352684,1.2258096,45.96656,48.856186,18.39064166549143,3.92674354633596,0.01974161507344162,0.25314470294470454,45.96656036376953,48.85618591308594,0.47338348627090454,9.726171493530273,1201,173044,0,10798,964,9873,0,193,0,2103,0,0,910,6215,0,0,0.0012675488,0.00027357123,0.00024277579,0.0003243408,0.00026533307,2.4941908e-05,0.00064050674,0.00034739307,1.6705774e-06,1.3740959e-06
106.75,[254],[251],86.13664,72.30668258666992,87446.76,,28.184164,0.5634851,0.031550515,-6.1655636,-8.274667,1.3536971,0.32324037,71.90721,65.916046,0,45,8.0084648435502,6.7236733,5.3327727,12.546934,15.063373,2828.1826,32.565,393.28499999999997,1611.8895,284.4569,15.537528,1.2032303,46.03069,41.924458,18.738380427022122,3.730736528250815,0.06406199469132536,0.26368754990707927,46.03068923950195,41.92445755004883,2.4878947734832764,10.67639446258545,1201,173044,0,10843,962,10102,0,291,0,2819,0,0,908,5280,0,0,0.001551389,0.00025495703,0.00038996385,0.00032435462,0.00031617473,2.5981672e-05,0.0006669149,0.00038117322,2.980447e-06,1.4711953e-06
107.0,[253],[253],85.96454,76.56899598928598,87385.47,,22.979795,0.49270806,0.030334251,-5.23249,-7.796039,1.3457018,0.3156014,71.96244,65.92909,0,27,7.094301453512008,6.742738,5.332798,12.161796,15.074502,2834.6814,32.565,398.29499999999996,1632.5704,280.77057,16.915771,1.1485293,46.495426,39.78722,19.99239737081631,3.4681190539484925,0.011616748698323883,0.23820603129760315,46.495426177978516,39.7872200012207,0.26380208134651184,10.737178802490234,1201,177528,0,10238,978,10628,0,321,0,2682,0,0,908,5775,0,0,0.0017583425,0.00026264088,0.0002228943,0.0003195352,0.00032323512,2.5255476e-05,0.0006469114,0.00035033523,1.7787935e-06,1.579375e-06
107.25,[254],[252],86.48221,72.37650065788856,87380.83,,21.926476,0.53568906,0.03244572,-5.211093,-6.7967224,1.1997503,0.3142345,71.64241,65.94232,0,25,6.642212428636537,6.716687,5.3309436,13.282238,14.708417,2843.4348,32.565,398.29499999999996,1607.3807,280.28186,17.155313,1.1854284,50.08292,40.411224,20.32319021514439,3.784537840703729,0.010477396629989418,0.275584112859676,50.08292007446289,40.411224365234375,0.06984426081180573,10.919500350952148,1201,177528,0,10711,985,9506,0,222,0,2282,0,0,910,5372,0,0,0.0015984245,0.00024076909,0.0003371969,0.00031979074,0.00033634604,2.209534e-05,0.00060162327,0.0003497061,3.5804942e-06,1.5666265e-06
107.5,[254],[253],86.3401,77.2028749025785,87298.06,,27.573544,0.5818468,0.030347394,-4.4819756,-8.784622,1.3643942,0.31300607,72.21797,66.02216,0,53,7.369509569125914,6.755712,5.332543,11.061809,16.235325,2852.2947,32.565,403.305,1649.4557,276.83725,15.879418,1.0945731,42.841183,41.78599,18.718956218638784,3.4453895763028526,0.013299387435598097,0.2669287634299477,42.841182708740234,41.78599166870117,0.4561292827129364,10.375542640686035,1201,182036,0,11364,989,9560,0,268,0,2427,0,0,916,4965,0,0,0.0017939778,0.00024007216,0.0001578583,0.000314403,0.00035193178,2.1881366e-05,0.0006936031,0.0003526925,1.166872e-06,1.5440047e-06
107.75,[256],[252],86.32427,73.27112887455867,87333.5,,29.419142,0.51131594,0.03186182,-4.5652456,-9.396579,1.1889364,0.3157027,72.02439,66.071045,0,47,7.8625386539517805,6.7226505,5.3296633,12.144264,15.453109,2866.6257,32.565,398.29499999999996,1604.975,278.78546,16.475483,1.059659,40.122005,38.163643,19.420037552495586,3.331705255874822,0.04884931137259373,0.2580338387720116,40.122005462646484,38.16364288330078,1.3473809957504272,14.380229949951172,1201,177528,0,11328,993,9346,0,315,0,2005,0,0,913,5248,0,0,0.0015195962,0.00025804702,0.0003873903,0.0003159215,0.00027949255,2.306492e-05,0.00060284167,0.0003682614,1.4212455e-06,1.5759701e-06
108.0,[257],[255],87.89772,73.37803994692288,87284.55,,37.799404,0.52104783,0.030968657,-5.053422,-9.516876,1.2870659,0.31518483,72.11921,66.18363,0,67,6.337225037869199,6.7067204,5.333197,11.776104,17.006681,2879.9854,32.565,403.305,1595.7406,275.50592,16.16177,1.081287,48.89274,49.719948,19.07367476735079,3.23657754072393,0.015410644987375027,0.23968831660318068,48.892738342285156,49.719947814941406,0.4482904374599457,8.859597206115723,1201,182036,0,11224,987,10263,0,422,0,1975,0,0,906,5572,0,0,0.0012820292,0.00025167275,0.00045897416,0.00030666948,0.0002529298,2.3355835e-05,0.0005723042,0.00036472705,2.3744667e-06,1.6014055e-06
108.25,[254],[253],86.50368,77.5878420316256,87268.22,,50.252472,0.5998531,0.02919493,-6.1335654,-10.648214,1.4509643,0.314941,72.44295,66.244865,0,99,6.344859997383089,6.764181,5.3345976,11.052063,17.477106,2892.2563,32.565,408.315,1618.8545,272.1323,16.47878,1.0397422,47.893116,46.66537,19.419889730760943,2.9855003161647713,0.045126186178749764,0.21060228588328372,47.89311599731445,46.66537094116211,2.1745078563690186,10.105852127075195,1201,186624,0,10610,989,11101,0,487,0,2172,0,0,911,6100,0,0,0.0018061328,0.00022680251,0.00020009582,0.0003007273,0.00031174684,2.3653298e-05,0.00068758085,0.00037259347,8.735033e-07,1.6295978e-06
108.5,[253],[254],85.79811,76.36826362609864,87252.0,,28.360329,0.6243037,0.027598133,-6.462908,-10.116573,1.4180183,0.31508073,72.67998,66.27251,0,100,5.737180556094789,6.7440715,5.3337955,12.189294,16.651876,2899.2178,32.565,408.315,1608.6705,271.3528,15.985651,1.0332223,41.935387,40.982372,18.659076938295982,3.0039034343203963,0.00912735145238039,0.20140736187056793,41.935386657714844,40.98237228393555,0.06739713251590729,8.458671569824219,1201,186624,0,9553,998,11408,0,511,0,2199,0,0,910,6234,0,0,0.001933344,0.00021656661,0.0002159636,0.00029997848,0.00038282882,2.3491595e-05,0.000663083,0.00037131956,1.692941e-06,1.7295957e-06
108.75,[251],[254],86.88451,69.03045123173641,87269.59,,46.856377,0.61937314,0.029188592,-11.333177,-9.492582,1.5004902,0.31298968,72.429344,66.32538,0,74,5.4274288249733305,6.6893687,5.3334656,12.899444,18.27249,2910.3005,32.565,408.315,1593.5729,270.45078,13.4577055,1.0978417,42.29006,47.20442,15.776010509499688,3.397432828045894,0.01961550588345717,0.23465424638754454,42.29005813598633,47.20441818237305,0.35677140951156616,10.650158882141113,1201,186624,0,10164,997,10439,0,363,0,2076,0,0,909,5733,0,0,0.0016718627,0.00021476016,0.00038548,0.0002991062,0.00048706084,2.2346247e-05,0.0006728321,0.00036413234,7.370689e-06,1.7954068e-06
109.0,[253],[255],88.25022,73.9226373379047,87279.45,18.111628,34.668972,0.64937174,0.028721126,-8.294735,-10.292764,1.5851521,0.3168014,72.841034,66.35533,9,94,5.363933258717374,6.7466626,5.3337684,12.181836,17.058804,2918.387,32.565,408.315,1622.3433,269.4922,15.005237,1.0016727,42.180912,42.269733,17.398005854594036,2.9342649433043895,0.23759145478433247,0.2298017582993954,42.180912017822266,42.26973342895508,6.940188407897949,12.997856140136719,1201,186624,0,10547,1006,10964,0,352,0,2630,0,0,910,5310,0,0,0.0019974695,0.00020832998,0.00018207557,0.0002984769,0.00047146718,2.357239e-05,0.0006798785,0.00038823934,2.783095e-06,1.9473234e-06
109.25,[255],[254],91.24103,77.2945546076848,87228.42,,28.308628,0.63394874,0.02798481,-6.282372,-12.105798,1.4739536,0.314512,72.87284,66.347374,0,93,5.484513861665253,6.7579126,5.333193,11.431833,16.988401,2925.0405,32.565,408.315,1616.4291,269.4269,17.682665,0.9155221,42.898254,31.48401,20.492425785008127,2.7704148835899725,0.021297111429413144,0.25139111532863156,42.89825439453125,31.484010696411133,1.1088800430297852,15.956697463989258,1201,186624,0,10724,1012,10226,0,483,0,2665,0,0,914,4662,0,0,0.0020840594,0.0002086755,0.0001929538,0.00029559797,0.0003417426,2.5891371e-05,0.00065490307,0.00040211927,1.2526289e-06,2.0984164e-06
109.5,[255],[253],88.97972,77.60913772583008,87211.086,,35.85865,0.58821523,0.028797623,-3.9032674,-10.042315,1.4151758,0.31665167,72.94385,66.36084,0,44,4.960440867784213,6.708974,5.33426,12.185693,15.833343,2927.7117,32.565,403.305,1613.8232,272.08615,16.428745,0.9834867,51.342007,52.620586,19.06743776311244,3.1632531160058064,0.010205153165665134,0.23145844934024373,51.34200668334961,52.62058639526367,0.26004546880722046,8.478376388549805,1201,182036,0,10634,1008,9720,0,454,0,2428,0,0,917,4651,0,0,0.0016236198,0.00022044366,0.00027256808,0.00030067394,0.0003070678,2.4278395e-05,0.0006218348,0.00038175247,1.7840194e-06,2.2110023e-06
109.75,[254],[252],86.55384,76.15741819234995,87140.0,,25.106924,0.66678286,0.028434556,-3.8718634,-7.5283737,1.4737974,0.3132606,72.83711,66.39274,0,44,5.837516847165282,6.7588496,5.3395624,11.8224535,15.832259,2940.5464,32.565,403.305,1616.2362,271.84286,17.666159,0.9240694,47.87627,37.482586,20.75625916057818,2.8383599076178943,0.008438845640071121,0.22959418365606804,47.87627029418945,37.48258590698242,0.08153654634952545,7.753282070159912,1201,182036,0,10748,1000,9868,0,505,0,2595,0,0,924,4475,0,0,0.0020150857,0.00020291712,0.0003030579,0.00030072662,0.00037221768,2.076251e-05,0.00062801753,0.00035897765,2.1854717e-06,2.1342244e-06
