hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
77.0,[261],[255],51.863594,42.025776916934596,94446.73,,22.409348,0.258028,0.007050589,-5.338119,-7.0664587,51.954052,45.413006,0,47,6.568316731347307,4.446383,4.073106,13.888708,14.171273,1829.4788,82.66499999999999,423.34499999999997,778.1044,203.27602,3.4689877,0.37321645,22.943836,17.806988,5.002919689308845,1.0812895068345179,1.0349706871917395,0.17669711564304938,22.943836212158203,17.806987762451172,11.245649337768555,9.111912727355957,7705,193412,2332,16630,4562,10742,0,461,53,4363,0,0,4383,1316,2181,14194,0.00046633216,9.720868e-05,0.0011333927,0.00013456144,8.3697065e-05,1.1475421e-05,0.0004998784,0.0005030135,2.3584003e-06,9.933831e-07
77.25,[256],[250],54.952583,47.012102132315164,94426.914,,23.388605,0.33062863,0.008826311,-6.0528145,-9.78672,52.41583,45.475166,0,48,6.499663502812649,4.683372,4.0787888,13.184867,14.894525,1809.9604,62.625,418.335,828.14465,213.07603,5.48167,0.43062606,22.848032,18.284107,6.691279825540796,1.1622464151135372,0.7248239302703866,0.229997830299478,22.848031997680664,18.284107208251953,8.957025527954102,10.362565994262695,4421,192736,226,19102,3323,11249,0,455,4,4424,0,0,3257,2116,173,16610,0.00064420025,0.00010278584,0.0011384895,0.00015626464,0.00012777308,1.2230853e-05,0.00062197313,0.00046288525,2.0601046e-06,9.928581e-07
77.5,[249],[253],52.574078,41.198769492194764,94472.04,,23.13764,0.28796542,0.006783317,-5.599715,-7.494917,51.942123,45.383232,0,37,3.5135606595097153,4.520654,4.0769415,12.179717,13.107593,1820.9045,72.645,418.335,786.54974,208.73427,4.268399,0.3756422,26.68469,20.209145,6.321398143107485,0.9868608264683428,0.9119083244395476,0.2032286435561237,26.684690475463867,20.209144592285156,12.907052993774414,10.066506385803223,5957,191169,1386,17887,3502,10966,0,403,0,4777,0,0,3408,1424,1364,15354,0.0005371516,9.474401e-05,0.0011401359,0.00013756148,9.907088e-05,1.0746913e-05,0.00060799246,0.00048411457,1.3872949e-06,9.822631e-07
77.75,[251],[257],53.02612,44.83959039226993,94448.82,,26.743975,0.34410906,0.006456478,-8.630113,-7.5121803,51.87716,45.42493,0,42,3.568629145713161,4.6820087,4.0768685,12.481416,12.426938,1809.5608,62.625,433.365,817.74963,207.85846,5.4540267,0.3748422,23.238276,20.425959,7.064333672229507,1.0347319788529878,1.1018059604756947,0.19918782333386745,23.2382755279541,20.42595863342285,12.00892448425293,8.090975761413574,4421,205174,581,19220,2973,11417,0,377,0,4501,0,0,2885,2163,570,16028,0.0006445984,9.750686e-05,0.0011798042,0.00013702389,0.00014451183,1.0282042e-05,0.00064215384,0.0004565761,1.8389565e-06,9.3741716e-07
78.0,[255],[258],52.608536,45.56299928029378,94420.69,,29.886175,0.2802384,0.0058568767,-5.78827,-6.6822095,51.819702,45.36499,0,35,4.895765613397576,4.5268617,4.0753508,11.853358,12.772143,1815.8884,72.645,433.365,806.04346,203.54004,4.400223,0.3215019,24.554522,20.608953,6.313928351610052,1.0078120702574107,0.89659513329902,0.1523108552105623,24.554521560668945,20.60895347595215,6.537409782409668,8.124505043029785,5957,203546,1339,17521,3627,10733,0,473,0,5013,0,0,3545,903,920,13214,0.0005302349,8.4538384e-05,0.0012416305,0.00011911919,9.732809e-05,9.612477e-06,0.0005872579,0.00046767364,1.3549941e-06,9.018691e-07
78.25,[258],[253],53.01958,46.43389371236165,94470.31,,22.765882,0.27281234,0.0068502217,-4.447731,-5.671673,51.884888,45.39441,0,29,4.332257721972679,4.513505,4.0770807,12.855262,13.46724,1817.2668,72.645,423.34499999999997,808.57947,206.43187,4.1003203,0.31595975,26.12347,21.323578,5.778144772135738,0.9436471794948053,0.9235130680079511,0.16823521495371777,26.123470306396484,21.323577880859375,5.016510009765625,8.208294868469238,5957,195589,1206,16862,3677,9975,0,545,5,4461,0,0,3587,733,1197,13789,0.00050819636,8.372628e-05,0.0011920037,0.00012100125,8.983896e-05,9.725094e-06,0.0005857516,0.00042777654,1.1060504e-06,9.03853e-07
78.5,[248],[252],54.09728,41.95164345156762,94473.51,,23.467607,0.22576848,0.005949353,-5.446142,-5.955196,51.238724,45.3014,0,37,2.553913441087853,4.441443,4.077145,12.847727,13.115786,1827.036,82.66499999999999,423.34499999999997,761.09753,202.37346,3.0883737,0.32697117,21.005867,19.992903,5.455348358623048,0.9940899133780099,0.6005396466421546,0.16489364066240061,21.00586700439453,19.992902755737305,5.93882417678833,10.862910270690918,7705,193810,2078,14959,3767,9748,0,389,134,4228,0,0,3506,998,2031,11747,0.00043633196,8.71079e-05,0.001171871,0.000105820036,7.612599e-05,9.413277e-06,0.0005784019,0.00044112143,1.1608508e-06,8.768703e-07
78.75,[258],[262],53.773643,39.09409443409212,94428.766,,25.36497,0.20550652,0.0045901933,-6.180034,-6.536087,51.132065,45.23047,0,19,3.9690441954720996,4.369169,4.078135,12.482385,13.828179,1833.5319,92.685,443.385,726.2957,193.39816,2.7084253,0.302263,26.464907,14.277278,5.092184282428402,1.0664892918321844,0.7080870947920456,0.12686002054559872,26.464906692504883,14.277277946472168,5.64577579498291,8.08116340637207,9689,205986,4094,13075,4278,9194,0,389,492,4100,0,0,3660,794,4084,9088,0.0003982228,7.825393e-05,0.0010724339,8.960019e-05,6.325668e-05,8.963043e-06,0.0005647449,0.0004399843,1.0537589e-06,8.2963345e-07
79.0,[251],[252],53.16021,45.00394962855748,94365.47,,22.226866,0.294143,0.005550857,-5.2703643,-6.398884,51.474842,45.352577,0,41,2.662461147284728,4.5229278,4.0798755,11.419687,14.23259,1822.6177,72.645,423.34499999999997,792.4608,206.2496,3.840832,0.36150917,25.81562,20.308962,6.021995088737871,1.2081218952954795,0.9326148451227674,0.1804307771007032,25.81562042236328,20.308961868286133,9.235143661499023,10.83028507232666,5957,195807,1611,15335,3228,8464,0,335,20,3774,0,0,3061,1146,1594,11800,0.0004706307,9.317757e-05,0.0011365932,0.000116158226,0.000109775625,9.159213e-06,0.00067293295,0.00041000743,1.7154389e-06,8.1280893e-07
79.25,[249],[258],54.132008,41.80059466134934,94391.7,,31.825972,0.28418258,0.005298897,-4.7742386,-10.345571,51.39604,45.30039,0,52,2.5861999026702867,4.5216236,4.0806565,12.139123,16.07543,1820.9575,72.645,438.375,793.6564,201.56937,3.8800454,0.3325735,21.396648,20.498835,6.195804499238718,1.1323870878378703,1.0333073400324886,0.15393368048109546,21.396648406982422,20.49883460998535,11.80695915222168,10.456185340881348,5957,206938,1859,14660,3131,9140,0,414,33,3491,0,0,3054,1454,1808,11813,0.00051401707,9.3709416e-05,0.0011526624,0.000110467256,0.00011175629,1.0658598e-05,0.0006798075,0.00039467437,1.4302681e-06,8.260824e-07
