hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.843469,10.691218314317306,99232.58,,,0.00024123274,-0.0001237928,-0.030608969,-0.02772189,45.435345,44.924934,0,0,0.05349078969614415,4.168245,4.074084,0.2012717,0.20074062,2317.1067,202.905,232.965,169.29443,150.44638,0.00022321485,0.00047033216,0.002151852,0.0063221776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[252],[250],10.663847,10.495109218786194,99236.2,,,0.00024693116,2.0300839e-05,-0.028534673,-0.02865995,45.50004,44.98685,0,0,0.05847506705315424,4.1589537,4.074033,0.20127647,0.20080948,2395.3423,202.905,227.95499999999998,162.50046,146.33424,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[251],[250],10.562038,10.340799242156358,99241.516,,,0.0003801926,0.00014301822,-0.036689155,-0.030329626,45.56661,45.051712,0,0,0.04509034149714736,4.1477375,4.0740294,0.2012864,0.20083568,2469.4165,202.905,222.945,156.75395,142.73604,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[251],[250],10.544113,10.22267614878141,99250.945,,,-2.4578433e-06,-0.00029575423,-0.035881653,-0.028288577,45.68499,45.133755,0,0,0.024994397355994367,4.145105,4.0741334,0.20131096,0.2008825,2547.4814,192.885,217.935,152.76898,141.32214,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[252],[250],10.53731,10.135110219319662,99246.836,,,-0.0004956858,-0.0009139881,-0.035790812,-0.03134939,45.7517,45.181614,0,0,0.01566180411224933,4.1320925,4.07395,0.20131691,0.2008759,2606.1694,192.885,217.935,149.00525,137.88477,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[251],10.552973,10.06503196339031,99245.75,,,-0.0012459744,-0.0022815405,-0.041887205,-0.036271464,45.81996,45.235085,0,0,0.023744840674473636,4.1235194,4.0737944,0.20131531,0.2008845,2660.9172,192.885,212.92499999999998,146.17896,135.96172,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[251],[250],10.607438,10.020083831187867,99247.914,,,-0.0024001591,-0.001775027,-0.039416347,-0.03253594,45.88766,45.27737,0,0,0.04185879908591503,4.1182103,4.073637,0.20131543,0.20088519,2696.1282,192.885,212.92499999999998,144.79524,134.14038,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.666346,10.00092611276327,99244.6,,,-0.0027386334,-0.0018724027,-0.038903385,-0.038276635,46.019608,45.354362,0,0,0.055679282991704875,4.1188636,4.0736527,0.2013149,0.20090882,2713.7117,182.86499999999998,207.915,146.24965,136.75516,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[252],[250],10.762016,9.996207708599924,99246.23,,,-0.0017181466,-0.0023588405,-0.0603998,-0.03914043,46.097466,45.39268,0,0,0.07309637099313099,4.1132307,4.0734754,0.20130974,0.20092317,2685.8306,182.86499999999998,207.915,149.46498,138.94638,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[250],10.899104,10.012869792081872,99248.63,,,-0.0001778963,-0.0003944381,-0.07303037,-0.046261642,46.18637,45.446545,0,0,0.08661856065989902,4.108379,4.0733147,0.20130278,0.20091397,2627.0488,182.86499999999998,202.905,154.4539,144.16963,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.75,[254],[251],11.024917,10.035178032699896,99253.12,,,0.0014431763,0.001424452,-0.08627779,-0.069990285,46.36802,45.531166,0,0,0.11169178251560283,4.107687,4.0731854,0.20129563,0.20090373,2559.6597,172.845,202.905,160.17772,150.82384,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.0,[251],[251],11.087096,10.019558721659134,99262.17,,,0.0023355728,0.0012079546,-0.082755595,-0.08376455,46.48481,45.596275,0,0,0.15108327954313064,4.101813,4.0729065,0.2012865,0.20086168,2502.5024,172.845,202.905,163.84697,154.18442,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5873194e-11,,,,,,8.426688e-06,,,
3.25,[252],[252],11.196479,10.024448339306579,99275.42,,,0.0018341854,0.0006814886,-0.10289978,-0.08954566,46.607655,45.661095,0,0,0.12547923661018404,4.095454,4.0726247,0.20127727,0.20085177,2454.1025,172.845,202.905,166.84732,156.95549,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.504849e-09,,,,,,2.2120465e-05,,,
3.5,[253],[251],11.306776,10.032732049786315,99277.84,,,2.1615826e-05,0.00017070581,-0.15400733,-0.121933095,46.726574,45.72936,0,0,0.11697186275240544,4.0902996,4.072308,0.20126155,0.20085521,2416.3308,172.845,202.905,169.031,159.01506,9.520523e-10,,2.4486306e-09,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33689,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6520417e-08,,,,,,5.3744687e-05,3.0889674e-05,,
3.75,[252],[251],11.385075,9.997930609450048,99280.67,,,-0.0010031764,-0.0012629185,-0.54592454,-0.11600026,46.835278,45.82395,0,0,0.10929613475568588,4.0861793,4.071981,0.20125213,0.20086913,2390.8164,172.845,197.89499999999998,169.96014,161.14317,0.00043821643,,0.003653445,,1.2165671803288092e-09,,0.000443196163222657,,1.2165671803288092e-09,,0.0036534450482577085,,33689,10420,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2.8345521e-08,,,,,,8.189715e-05,4.765023e-05,,
4.0,[252],[251],12.166339,9.992435244151524,99284.41,,,-0.0013085227,-0.0012550926,-3.468539,-0.9224176,46.92822,45.90257,0,0,0.0890901684222416,4.0816994,4.0715914,0.20123066,0.20087098,2376.4858,172.845,197.89499999999998,170.85594,161.68999,0.0020109534,,0.0998219,,0.008035528795310701,,0.0005365847431130376,,0.09982190281152725,,0.010918902233242989,,33689,10420,33,0,70,1,0,0,25,0,0,0,0,0,0,0,4.3478885e-06,5.5139444e-09,,,,,0.00020006545,0.000109172586,,
4.25,[262],[234],13.018808,10.028535430671788,99253.234,16.226181,,-0.0010670546,,-4.180158,,46.671352,,3,0,0.09860435519541157,4.083437,,9.595569,,,202.905,202.905,171.12878,,0.078891166,,4.4673033,,0.15161808977992364,,0.005618783670090554,,4.467303276062012,,0.5842348337173462,,46393,0,200,0,1064,0,10,0,416,0,0,0,0,0,0,0,9.620283e-05,,1.0189289e-05,,6.755762e-05,,0.0004518433,,4.0646337e-06,
4.5,[250],[228],14.959649,9.934911410662593,99269.06,28.86189,,-0.0004871235,,-4.440679,,46.53771,,26,0,0.35089517902639944,4.103757,,13.804044,,,212.92499999999998,212.92499999999998,168.44525,,0.30226162,,10.0596,,0.46254155767336497,,0.053537817648190975,,10.059599876403809,,3.553744316101074,,51101,0,621,0,3767,0,136,0,1428,0,0,0,0,0,0,0,0.00018109931,,5.1684117e-05,,6.8033456e-05,,0.00058755354,,7.008457e-06,
4.75,[251],[255],15.941097,10.10295262669408,99231.234,25.260702,24.580538,0.0038241732,-0.0032507677,-5.194285,-4.15589,46.899757,46.08007,22,4,0.6934260084383251,4.1515894,4.0740714,14.16136,12.401473,2344.5115,152.805,192.885,174.75206,166.80235,0.48040614,0.3176695,9.952399,7.791429,0.8059343063349441,0.5573945947156168,0.16773179936747032,0.04067773325698947,9.952399253845215,7.791429042816162,6.822722911834717,1.6484090089797974,26317,15612,1000,194,4489,937,253,32,1985,360,0,0,0,0,0,0,0.0001148872,0.00017741318,8.593851e-05,5.838525e-05,5.5150147e-05,6.302541e-05,0.00066138577,0.0006541226,7.243748e-06,6.736295e-06
