hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,cloud_base_height,rinner_v,router_v,rinner_p,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer,PE_max_outer,PE_max_inner
0.25,[250],[250],10.694229,10.686344561723311,99161.59,,,0.00041272698,-4.433764e-06,-0.031031609,-0.016914815,0.0028355573,0.0015030113,39.0765,38.633648,0,0,0.005617362466978344,3.6679075,3.665329,0.19962688,0.1990756,1976.6223,,202.905,232.965,583.665,154.49544,137.0851,7.471824e-05,0.000136295,0.00020094584,0.00025136984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,14748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.00070982776,0.0005660905
0.5,[251],[250],10.540868,10.486417518947718,99164.945,,,0.00039159402,0.00027099942,-0.024243183,-0.014374318,0.002305824,0.0021327327,39.13515,38.69085,0,0,0.009079329941476044,3.6679173,3.6653798,0.19962944,0.19912799,2049.2854,,202.905,227.95499999999998,4.509,148.24127,133.31767,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
0.75,[251],[251],10.479621,10.329897077965649,99170.664,,,0.0006491229,0.0003851796,-0.040864512,-0.025739212,0.0023893367,0.002136867,39.237083,38.764877,0,0,0.01878356020182467,3.6681745,3.6655297,0.1996342,0.19917372,2121.924,,192.885,222.945,4.509,143.68053,131.73055,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,14068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1.0,[251],[250],10.459003,10.214217725690904,99178.66,,,0.00033972686,-0.00013772554,-0.04055361,-0.026903529,0.002309533,0.0020037582,39.301517,38.817924,0,0,0.02308319280312981,3.668171,3.6655974,0.19963838,0.19919066,2182.45,,192.885,217.935,4.509,139.16306,128.80809,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1.25,[251],[251],10.477193,10.127118654740162,99175.74,,,-0.00017450434,-0.00072303164,-0.033744287,-0.03141993,0.0021501437,0.0018562927,39.363445,38.859077,0,0,0.04395452638607896,3.6680102,3.6655056,0.1996367,0.1991954,2235.9844,,192.885,217.935,4.509,135.39017,125.4583,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,11576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1.5,[251],[250],10.510746,10.063940402788994,99173.805,,,-0.0011573632,-0.001585709,-0.04706769,-0.034963895,0.0022031271,0.0020163667,39.42694,38.90585,0,0,0.02849993280228904,3.6678648,3.6654441,0.19963668,0.1992022,2290.7012,,192.885,212.92499999999998,4.509,132.0819,123.220566,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1.75,[252],[250],10.567785,10.01897439280689,99174.97,,,-0.0021904022,-0.0014670081,-0.043477852,-0.03740552,0.0022390243,0.001904736,39.489826,38.942364,0,0,0.03307311116235608,3.6677468,3.6653807,0.19963859,0.19922192,2336.8398,,192.885,212.92499999999998,4.509,129.47878,120.579315,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,9172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2.0,[252],[251],10.633803,9.991640650906325,99171.375,,,-0.0023530303,-0.0016089851,-0.033035487,-0.038470495,0.0025255794,0.002084903,39.61739,38.98853,0,0,0.05065423010120025,3.6678238,3.665492,0.1996373,0.19926219,2378.9668,,182.86499999999998,207.915,4.509,128.74568,121.10197,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2.25,[252],[251],10.708657,9.980958668208213,99172.46,,,-0.001156685,-0.0021379658,-0.035007738,-0.029464206,0.0026344885,0.0022497948,39.68972,39.021763,0,0,0.07411519134485693,3.6676471,3.665422,0.19964267,0.19926567,2393.3906,,182.86499999999998,207.915,4.509,131.00862,120.757484,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2.5,[253],[250],10.801126,9.989246228645587,99174.86,,,0.0001463665,0.0003366448,-0.032383874,-0.025717221,0.002685416,0.0028399057,39.770657,39.06829,0,0,0.09201492172300184,3.6674533,3.6653419,0.19963801,0.19925416,2353.6865,,182.86499999999998,202.905,4.509,134.72095,125.29906,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,8720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
