hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.694229,10.686344561723311,99161.59,,,0.00041272698,-1.5227747e-05,-0.031031609,-0.016914815,39.0765,38.56183,0,0,0.005617362466978344,3.6679075,3.6649168,0.19962688,0.1990756,1950.9915,202.905,288.075,154.49544,122.985695,7.471824e-05,0.00014662056,0.00020094584,0.00027751544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,47076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[251],[250],10.540868,10.486417518947718,99164.945,,,0.00039159402,0.00018869754,-0.024243183,-0.020833617,39.13515,38.612442,0,0,0.009079329941476044,3.6679173,3.6649377,0.19962944,0.19912799,2013.124,202.905,283.065,148.24127,120.500145,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46393,43880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[251],[251],10.479621,10.329897077965649,99170.664,,,0.0006491229,0.00033936728,-0.040864512,-0.025739212,39.237083,38.67003,0,0,0.01878356020182467,3.6681745,3.665015,0.1996342,0.19917372,2074.843,192.885,283.065,143.68053,118.765114,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[251],[250],10.459003,10.214217725690904,99178.66,,,0.00033972686,-9.24716e-05,-0.04055361,-0.03163438,39.301517,38.71239,0,0,0.023083192803129815,3.668171,3.6650112,0.19963838,0.19919066,2126.3499,192.885,283.065,139.16306,115.66444,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[251],[251],10.477193,10.127118654740162,99175.74,,,-0.00017450434,-0.0011483987,-0.033744287,-0.03141993,39.363445,38.757854,0,0,0.04395452638607896,3.6680102,3.6649566,0.1996367,0.1991954,2180.6006,192.885,278.055,135.39017,113.999886,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[250],10.510746,10.063940402788994,99173.805,,,-0.0011573632,-0.001400294,-0.04706769,-0.034963895,39.42694,38.791054,0,0,0.02849993280228904,3.6678648,3.664841,0.19963668,0.1992022,2228.216,192.885,278.055,132.0819,111.46818,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[252],[250],10.567785,10.01897439280689,99174.97,,,-0.0021904022,-0.0012451665,-0.043477852,-0.044954147,39.489826,38.825626,0,0,0.03307311116235608,3.6677468,3.6647687,0.19963859,0.19922192,2273.2495,192.885,278.055,129.47878,109.208244,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41929,45188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[251],10.633803,9.991640650906325,99171.375,,,-0.0023530303,-0.0013308737,-0.033035487,-0.038470495,39.61739,38.8699,0,0,0.05065423010120025,3.6678238,3.6647885,0.1996373,0.19926219,2318.6008,182.86499999999998,278.055,128.74568,108.76851,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,49444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[252],[251],10.708657,9.980958668208213,99172.46,,,-0.001156685,-0.0016233422,-0.035007738,-0.031417552,39.68972,38.91321,0,0,0.07411519134485693,3.6676471,3.6647754,0.19964267,0.19926567,2348.98,182.86499999999998,273.045,131.00862,108.87833,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,46336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[250],10.801126,9.989246228645587,99174.86,,,0.0001463665,0.0003337825,-0.032383874,-0.031115277,39.770657,38.947975,0,0,0.09201492172300184,3.6674533,3.664684,0.19963801,0.19925416,2341.8655,182.86499999999998,273.045,134.72095,110.145294,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37673,46336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
