hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.700735,10.69252322720993,99231.375,,,0.00041719055,9.3096016e-05,-0.028103657,-0.020355975,45.73739,45.06248,0,0,0.008434342263941807,4.24026,4.074688,0.20127434,0.20077978,2374.9675,152.805,232.965,169.87749,158.77736,1.1247825e-05,7.5734475e-05,3.5376463e-05,0.00017761483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,34824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[251],[250],10.549912,10.494836454912257,99235.85,,,0.00021423033,0.00033709517,-0.026181214,-0.016196037,45.8046,45.13208,0,0,0.01275186700554119,4.2242937,4.0747237,0.20127816,0.20082389,2456.699,152.805,227.95499999999998,162.90968,153.99825,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,32244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[251],[250],10.490001,10.33943766726679,99240.65,,,0.00057759316,0.00032687155,-0.02762648,-0.017121091,45.939903,45.225002,0,0,0.023166700408693272,4.2214217,4.074918,0.20128119,0.20087823,2541.5498,142.785,222.945,156.20883,151.04094,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,33016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[251],[250],10.460458,10.21853592194917,99249.55,,,0.000121508274,-1.07063115e-05,-0.030180715,-0.023272693,46.01948,45.293022,0,0,0.023993349506517898,4.206088,4.075006,0.20128505,0.20091148,2615.9949,142.785,217.935,151.1377,147.23738,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[251],[251],10.47225,10.1266335663778,99245.016,,,-0.00036787995,-0.0006095393,-0.03152771,-0.02215284,46.098362,45.34175,0,0,0.032802872544630976,4.1825933,4.074876,0.201281,0.20092879,2680.448,142.785,217.935,147.04593,143.20142,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[250],10.504064,10.06033645095406,99243.13,,,-0.00047441287,-0.0020163592,-0.029962238,-0.03200009,46.181915,45.402958,0,0,0.019578612418616533,4.167088,4.0748076,0.20128486,0.20094205,2740.8582,142.785,212.92499999999998,143.79663,140.7302,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,28120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[252],[250],10.553923,10.016309460460912,99244.72,,,-0.0026006403,-0.001818886,-0.03887196,-0.033533,46.30483,45.4648,0,0,0.03616579812068914,4.165438,4.074771,0.20128061,0.20096765,2787.288,137.775,212.92499999999998,141.23035,138.89844,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,29700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[250],10.615914,9.986236638036267,99240.89,,,-0.0030671733,-0.0019119557,-0.035491142,-0.03790212,46.39336,45.52866,0,0,0.05374350287323454,4.1577287,4.0747437,0.20128597,0.20096976,2811.2668,137.775,207.915,141.14075,139.12169,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[253],[250],10.682816,9.975288051298294,99241.63,,,-0.0011021226,-0.002276621,-0.029748462,-0.02756553,46.490677,45.57592,0,0,0.07385081845749891,4.1480737,4.074589,0.20129131,0.20095687,2781.5764,137.775,207.915,143.97371,141.87587,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[250],10.779698,9.975761521364994,99243.734,,,5.379339e-05,-0.0001938191,-0.02957474,-0.024621043,46.601593,45.646263,0,0,0.08842144947611492,4.1371493,4.0744553,0.20128824,0.20092677,2700.677,137.775,202.905,148.50665,149.18341,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,24992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.75,250,251,10.869267,9.953190894875947,99247.64,,,0.0012092161,0.0017666909,-0.033367142,-0.036532015,46.82469,45.7518,0,0,0.10357771230612371,4.1395545,4.074334,0.20130424,0.20093583,2631.9497,127.755,202.905,151.39735,155.02483,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.0,[251],[251],10.960844,9.968483159006858,99255.7,,,0.0031641705,0.0015600241,-0.030532207,-0.049255796,46.963642,45.83383,0,0,0.1365167644335416,4.1302953,4.0740495,0.20130476,0.20093204,2576.6868,127.755,202.905,157.28815,158.78629,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.25,[252],[252],11.059166,9.975174696591436,99268.87,,,0.0022874076,0.0011184512,-0.0395473,-0.08060424,47.10324,45.921043,0,0,0.12478680467181917,4.115286,4.073721,0.2012981,0.20091222,2528.8125,127.755,202.905,161.95642,161.87398,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7118541e-10,,,,,,8.277633e-06,,,
3.5,[253],[252],11.146019,9.982188005836642,99273.67,,,-0.0002494647,0.00036859093,-0.09500867,-0.096148655,47.230618,46.007763,0,0,0.1229087891388123,4.1060367,4.0733843,0.20128258,0.20089212,2486.814,127.755,202.905,164.46823,164.18803,1.0378586e-09,,2.29451e-09,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5589534e-08,,,,,,4.5292105e-05,,,
3.75,250,252,11.276459,9.92320944340293,99275.28,,,-0.0010569112,-0.0010206929,-0.14921245,-0.08926721,47.342842,46.12377,0,0,0.1159459221094437,4.0989847,4.073047,0.20127322,0.20092128,2463.3599,127.755,197.89499999999998,164.89803,165.6913,0.00082306255,,0.005882161,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,25716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0259853e-07,,,,,,8.718411e-05,,,
4.0,[251],[252],11.404796,9.933553814401431,99277.48,,,-0.0014140572,-0.0014831392,-0.41440198,-0.106571205,47.442238,46.21909,0,0,0.11096846819989306,4.0927715,4.072625,0.20125702,0.20091209,2449.7595,127.755,197.89499999999998,166.5898,166.1801,0.0012035316,,0.013281779,,3.752659849531881e-10,,0.0012068887803370636,,4.841652634368643e-10,,0.013281779363751411,,18393,25716,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.227998e-08,6.6377526e-09,,,,,0.00011101018,1.6297417e-05,,
4.25,[252],[252],11.8067255,9.951317916597638,99280.336,,,-0.001626873,-0.0016612723,-2.3809261,-0.13102135,47.520557,46.31156,0,0,0.10375008081654442,4.0838747,4.072189,0.20124757,0.20090353,2438.4133,127.755,197.89499999999998,168.16702,166.8843,0.0007859363,8.507255e-10,0.050932296,2.4080973e-09,0.004851648269638286,,0.0005961468490341445,8.507255218568691e-10,0.05093229562044144,,0.031218037009239197,2.4080972771400866e-09,18393,25716,23,0,46,0,0,0,11,0,0,0,0,0,0,0,6.720012e-07,3.177907e-08,,,,,0.0002016402,4.1738545e-05,,
