hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,w_max_inner,w_max_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,rinner_v,router_v,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer
0.25,[250],[250],10.694229,10.686344561723311,99161.59,,,0.00068199186,3.2571585e-05,-0.031031609,-0.020523632,39.303127,38.717686,0,0,0.005617362466978344,3.6692364,3.6658115,0.19962688,0.19916031,2002.0579,152.805,232.965,156.20972,145.82669,1.6483866e-05,0.00010742515,4.6271096e-05,0.00025136984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,34824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.5,[251],[250],10.540868,10.486417518947718,99164.945,,,0.00046178658,0.0002887953,-0.024243183,-0.017913768,39.364464,38.780323,0,0,0.009079329941476044,3.6692374,3.6658826,0.19962944,0.19920668,2078.472,152.805,227.95499999999998,149.73796,141.38799,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26317,32244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0.75,[251],[251],10.479621,10.329897077965649,99170.664,,,0.0008551575,0.00039324563,-0.040864512,-0.025739212,39.484764,38.863483,0,0,0.01878356020182467,3.6695554,3.666087,0.1996342,0.19925968,2157.0227,142.785,222.945,143.60724,138.63966,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,33016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.0,[251],[250],10.459003,10.214217725690904,99178.66,,,0.00042605738,9.36597e-05,-0.04055361,-0.026903529,39.557426,38.925446,0,0,0.023083192803129815,3.6695259,3.6661742,0.19963838,0.19928019,2221.4453,142.785,217.935,139.13925,135.25392,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.25,[251],[251],10.477193,10.127118654740162,99175.74,,,-9.613959e-05,-0.00044152848,-0.033744287,-0.03141993,39.62986,38.97159,0,0,0.04395452638607896,3.669325,3.6660705,0.1996367,0.19928747,2277.424,142.785,217.935,135.42474,131.59755,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,30524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.5,[251],[250],10.510746,10.063940402788994,99173.805,,,-0.00054151117,-0.0018003796,-0.04706769,-0.035296034,39.707645,39.027565,0,0,0.02849993280228904,3.669134,3.666038,0.19963668,0.19931498,2336.643,142.785,212.92499999999998,132.21031,129.0866,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,28120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1.75,[252],[250],10.567785,10.01897439280689,99174.97,,,-0.0025110159,-0.0016924279,-0.043477852,-0.03740552,39.78671,39.06864,0,0,0.03307311116235608,3.6689692,3.6659758,0.19963859,0.19933538,2383.8547,142.785,212.92499999999998,129.72096,126.37808,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22981,28120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.0,[252],[251],10.633803,9.991640650906325,99171.375,,,-0.002682535,-0.0017940832,-0.033035487,-0.038470495,39.902473,39.139805,0,0,0.05065423010120025,3.6689043,3.6660342,0.1996373,0.1993552,2427.4749,137.775,207.915,128.34174,125.972496,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.25,[252],[251],10.708657,9.980958668208213,99172.46,,,-0.0006403819,-0.0019578983,-0.03258827,-0.035007738,39.992638,39.18236,0,0,0.07411519134485693,3.6686924,3.6659298,0.19964267,0.19934689,2419.1216,137.775,207.915,130.3274,127.398705,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,27312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.5,[253],[250],10.801126,9.989246228645587,99174.86,,,0.00025533594,0.00011944432,-0.032383874,-0.025717221,40.093327,39.249287,0,0,0.09201492172300184,3.668469,3.6658468,0.19963801,0.19931121,2365.1946,137.775,202.905,132.7553,133.11676,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,24992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2.75,[251],[251],10.884868,9.97341779822134,99178.5,,,0.0017093256,0.0017218568,-0.049156997,-0.03072214,40.204445,39.30641,0,0,0.1169468384708965,3.668185,3.6656451,0.19964923,0.19931944,2304.1099,137.775,202.905,134.55046,137.59117,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21401,24992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.0,[252],[251],10.961222,9.986017199925014,99189.22,,,0.0031924485,0.0014823164,-0.05059705,-0.042377256,40.419613,39.416317,0,0,0.1219573492813066,3.668088,3.665534,0.19965641,0.19930124,2254.672,127.755,202.905,137.11385,142.40598,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.25,[252],[252],11.048693,9.987902158620406,99199.55,,,0.001943125,0.0011342013,-0.057699725,-0.06321757,40.550476,39.49187,0,0,0.11808906681718369,3.6676776,3.665278,0.19965728,0.19930485,2208.893,127.755,202.905,141.55244,145.07729,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
3.5,[253],[251],11.149802,10.005561027721482,99208.734,,,-0.00040150224,-3.6287645e-05,-0.081269234,-0.103031985,40.675137,39.57164,0,0,0.12691657929437386,3.667251,3.664993,0.19966444,0.19929278,2169.2722,127.755,202.905,145.7622,147.21898,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1.9932047e-07,,,
3.75,[251],[252],11.2455435,9.959309711261671,99216.7,,,-0.001106655,-0.0014549823,-0.10623527,-0.08747912,40.792427,39.646175,0,0,0.11362319403290484,3.6668284,3.6646423,0.19964196,0.19931674,2134.8115,127.755,202.905,147.4125,148.57405,,,,,,,,,,,,,18393,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.307846e-11,1.1998281e-09,,,,,8.144189e-06,9.181466e-06,,
4.0,[252],[252],11.317505,9.960630332207193,99222.164,,,-0.0021314695,-0.0022541373,-0.13096349,-0.14039648,40.89362,39.751335,0,0,0.23032697356488296,3.6664402,3.6643097,0.19962795,0.19933227,2112.0095,127.755,197.89499999999998,150.07271,151.10445,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18393,25716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.324545e-09,5.0057385e-09,,,,,2.225063e-05,1.5721855e-05,,
