hours_after_init,x_center,y_center,vmax_3D,vmax_2D,min_pres,t2,w_max_inner,w_max_outer,w_mean_lower_inner,w_mean_lower_outer,w_mean_upper_inner,w_mean_upper_outer,w_mean_inner,w_mean_outer,w_min_inner,w_min_outer,w_mean_upward_inner,w_mean_upward_outer,pw_inner,pw_outer,updrafts_inner,updrafts_outer,inflow_strength,melt_level_inner,melt_level_outer,echo_top_inner,echo_top_outer,cape_outer,cloud_base_height,lcl_pdiff,theta_e,theta_e_inner,theta_e_outer,rinner_v,router_v,rinner_p,LHF_inner,LHF_outer,precip_inner_v,precip_outer_v,precip_max_inner_v,precip_max_outer_v,precip_sum_inner_v,precip_sum_outer_v,conv_precip_inner,conv_precip_outer,strat_precip_inner,strat_precip_outer,conv_precip_max_inner,conv_precip_max_outer,strat_precip_max_inner,strat_precip_max_outer,inner_count,outer_count,strat_count_inner,strat_count_outer,conv_count_inner,conv_count_outer,dcc_count_inner,dcc_count_outer,occ_count_inner,occ_count_outer,wcc_count_inner,wcc_count_outer,dwcc_count_inner,dwcc_count_outer,bsr_count_inner,bsr_count_outer,qr_mean_inner,qr_mean_outer,qs_mean_inner,qs_mean_outer,qg_mean_inner,qg_mean_outer,qc_mean_inner,qc_mean_outer,qi_mean_inner,qi_mean_outer,ni_mean_inner,ni_mean_outer,nr_mean_inner,nr_mean_outer,nc_mean_inner,nc_mean_outer,PE_max_outer,PE_max_inner
130.0,[253],[253],47.242382,38.80015266942614,95159.016,297.09622,,26.912926,0.22058816,0.010013731,0.1168276,0.020971864,0.14144878,0.018189196,-6.703009,-11.835792,0.6436205,0.21988966,48.68756,39.005997,0,48,2.8081442974934108,4.3241386,3.6925151,12.762215,15.2050705,1219.5155,2.4855804443359375,43.19174,342.74127,345.5671,342.94644,82.66499999999999,433.365,102.70500000000001,615.45514,241.2632,2.455792,0.6499456,18.079117,32.055897,18170.404,40925.125,4.664029332134444,1.9305611855230846,0.5002300460514029,0.2624152174666133,18.079116821289062,32.0558967590332,5.385634899139404,13.62133502960205,7705,202072,1957,22916,3475,14911,0,47,105,4528,0,1261,3229,5472,1901,17485,0.0002967702,0.00013496015,0.0007351574,0.00017102603,5.0566257e-05,1.3982193e-05,0.00051857764,0.00033985046,1.8333402e-06,9.4095924e-07,332489.62,239388.53,1740.6674,1378.7411,310159260.0,163542560.0,69.33927,36.322575
130.25,[252],[258],45.4133,38.02221798736777,95178.234,297.10892,15.302119,25.972088,0.20736633,0.007991885,0.11020752,0.019693661,0.1333259,0.016720494,-5.997201,-11.150519,0.5920674,0.21688974,48.306606,38.874073,1,40,2.979088072477402,4.2253532,3.6944497,11.763559,15.198553,1227.4492,2.4760582447052,42.902695,342.7888,344.7176,342.9722,92.685,438.375,102.70500000000001,623.3509,235.37225,2.283806,0.6177196,19.474043,36.27574,21196.004,38125.652,4.123594034210087,2.0614914938165345,0.6431470245641638,0.2361482622376682,19.474042892456055,36.27574157714844,6.359286308288574,9.803779602050781,9689,203318,2664,22030,4375,13153,0,95,206,4797,0,623,4038,4313,2427,17323,0.0002886823,0.00012942235,0.0007048486,0.00016465485,4.0792864e-05,1.3781406e-05,0.0004450595,0.00036433313,2.040458e-06,9.706569e-07,340184.5,252608.44,1947.6062,1333.3556,258037390.0,176000260.0,84.5306,38.605755
130.5,[254],[256],43.767113,37.75255062436097,95175.414,297.12262,,23.235886,0.20471838,0.008465061,0.10208254,0.019930772,0.12648533,0.017017629,-7.0374966,-7.0978765,0.58649683,0.21737067,48.3713,38.842293,0,37,2.883213936702254,4.2242465,3.6976473,11.4110775,14.830785,1224.6115,2.531611680984497,42.839096,342.82715,344.72122,343.01074,92.685,438.375,102.70500000000001,621.3792,235.26482,2.2427955,0.6271089,17.060373,41.76893,20671.846,38407.28,3.8773070226856707,2.078310851686017,0.7123294226285241,0.2353068632446693,17.060373306274414,41.76892852783203,6.35525369644165,10.58328914642334,9689,203442,2376,21850,4457,13341,0,70,264,4280,30,1578,4044,3985,2256,17649,0.0002883151,0.0001374971,0.0006435973,0.00016958681,4.0702183e-05,1.3965461e-05,0.00045936924,0.0003557664,2.2326358e-06,9.83436e-07,372950.34,267125.2,1945.4501,1334.5402,256848400.0,173733310.0,100.935616,34.13904
130.75,[258],[257],44.86897,37.43382777143645,95192.54,297.13834,16.29243,22.322338,0.21518059,0.007381209,0.1060616,0.019425279,0.13198197,0.016365126,-8.584673,-8.102646,0.59648705,0.21680985,48.461636,38.787254,3,20,3.0196571145506543,4.2361846,3.7022655,11.745123,14.812476,1222.284,2.504923105239868,42.827583,342.87048,344.64764,343.02292,92.685,443.385,102.70500000000001,620.6157,234.50221,2.1886184,0.6614143,18.189413,30.463123,20231.588,40372.07,3.7786866855195567,2.169801579795164,0.7511703576039487,0.25250627210945453,18.18941307067871,30.463123321533203,7.112400531768799,8.488781929016113,9689,206428,2354,21613,4392,13472,0,97,565,3932,0,539,3703,5276,1900,17353,0.00027551604,0.00014257383,0.00058174116,0.00017204051,3.9452298e-05,1.37033685e-05,0.00043571723,0.00034365727,1.9519919e-06,9.815359e-07,347610.06,272966.66,1913.1028,1343.6935,246865310.0,164773250.0,73.340034,35.8151
131.0,[256],[252],44.80523,39.221014007445305,95203.016,297.1522,,23.089302,0.20999043,0.008266656,0.12049739,0.02123808,0.14173302,0.017944323,-6.3895426,-7.5929456,0.6245403,0.22075488,49.01949,38.830208,0,23,3.3680283903137394,4.324475,3.7114027,11.0554085,14.092874,1214.1196,2.44860577583313,42.489582,342.9108,345.503,343.08337,82.66499999999999,438.375,112.725,615.8644,240.62158,2.1110246,0.743341,15.650003,28.853912,15556.141,45179.523,3.8828540542507497,2.369854731039286,0.6928686473034812,0.2818225710512098,15.650003433227539,28.853912353515625,9.396766662597656,15.478870391845703,7705,205426,2070,22183,3278,13924,0,50,78,3516,0,526,3048,6700,1731,17690,0.00027663267,0.00014744539,0.0006164435,0.00017747519,3.7693546e-05,1.4005933e-05,0.00047742523,0.00032564465,1.9105917e-06,9.858487e-07,368458.44,279936.6,1747.9486,1394.2533,289536860.0,149913360.0,65.4987,31.897137
131.25,[250],[251],45.199577,38.8931799517333,95201.45,297.16003,16.006119,27.120132,0.18962176,0.0073813275,0.11252878,0.021296836,0.13085382,0.017761625,-7.447134,-11.076325,0.6039926,0.2195535,48.306667,38.73194,2,27,2.9826744484933276,4.259432,3.7131019,11.055797,15.58677,1224.3451,2.435340642929077,42.774258,342.91977,344.43372,343.15326,92.685,433.365,102.70500000000001,639.0941,238.10321,2.0296586,0.7002596,14.765313,30.749376,19080.82,40191.402,3.7794023388246876,2.2811285973113735,0.703033939464116,0.2744500959407068,14.765313148498535,30.74937629699707,7.370370388031006,21.396852493286133,9689,199974,2941,22149,4054,12601,0,44,320,3450,0,288,3574,5907,2680,19341,0.00027002266,0.00013689877,0.00059742964,0.00017327636,3.5236117e-05,1.3359783e-05,0.000455164,0.00034111162,2.1127703e-06,9.985041e-07,374219.62,291549.78,1856.5284,1342.1886,251794220.0,155639100.0,73.572014,30.412474
131.5,[254],[249],47.001022,38.75931737623142,95241.42,297.17,,21.008575,0.19191304,0.007103107,0.10590595,0.02233871,0.12631436,0.018467946,-7.3653564,-7.304515,0.6039679,0.2182963,48.29684,38.763725,0,18,3.560495398146477,4.2627544,3.7216074,11.712484,14.117689,1223.3411,2.420785427093506,43.028145,342.95377,344.46402,343.17395,92.685,433.365,112.725,635.3162,238.96544,1.8749173,0.6882232,18.2699,27.395979,17521.102,39557.004,3.833033553303849,2.1947418178198905,0.6051984161431869,0.2841447949697176,18.269899368286133,27.395978927612305,9.707056045532227,25.932498931884766,9689,199932,3121,22676,3676,12530,0,58,548,2982,0,1377,3017,5297,2928,16868,0.00025882162,0.00013321631,0.00057070196,0.00017231499,3.879965e-05,1.2744413e-05,0.0004757518,0.00032107293,2.7368685e-06,9.938756e-07,476093.1,290648.53,1751.7897,1307.0946,257039040.0,146515490.0,70.97737,36.111313
131.75,[250],[253],46.741882,38.9623071493641,95236.62,297.17917,15.156685,17.756893,0.23659618,0.0080874385,0.12724496,0.02359949,0.15319261,0.019661214,-8.9291115,-7.046359,0.68517494,0.22164479,48.814884,38.846096,1,6,3.4477571719617246,4.3311553,3.7286263,11.711404,14.45754,1214.0217,2.420811414718628,43.620056,342.98636,344.89456,343.21265,82.66499999999999,428.35499999999996,102.70500000000001,641.62585,244.93591,2.2991133,0.65858275,25.088959,24.515528,16891.586,39034.2,4.3568663677202615,2.0336887527834127,0.7252758042479931,0.2815491075677782,25.088958740234375,24.515527725219727,5.677713871002197,14.728790283203125,7705,198242,2183,23379,3186,13141,0,54,253,3750,0,910,2791,5397,2067,17116,0.00029872826,0.00013249234,0.00052411656,0.0001803718,5.4966757e-05,1.1692108e-05,0.0005373466,0.00032127835,3.7667e-06,1.0099949e-06,618057.0,294310.75,1736.2981,1312.029,289604860.0,150081300.0,61.086292,50.166626
132.0,[249],[248],45.635303,38.6009543797442,95250.57,297.1939,18.37746,16.97559,0.21276706,0.008489222,0.118588276,0.02460174,0.14096044,0.02050861,-9.474743,-5.487953,0.6541059,0.21698856,48.169754,38.734524,2,4,3.4657650202846684,4.254199,3.7339146,12.785944,13.034468,1233.3612,2.423710823059082,43.91599,343.0301,344.19284,343.3,92.685,428.35499999999996,112.725,645.4254,241.30568,2.0060663,0.6655397,23.266508,20.188763,18770.762,37216.312,4.08559499671818,2.0829402081033064,0.6700867078672256,0.2729878190482419,23.266508102416992,20.188762664794922,5.5993757247924805,11.254098892211914,9689,195779,3292,22284,3663,12381,0,35,429,3619,506,2036,2570,4099,3042,19231,0.00028277558,0.00013572245,0.00052471546,0.00017281096,4.905499e-05,1.12306825e-05,0.0005303993,0.00033446538,3.865424e-06,9.721381e-07,637389.1,284582.2,1804.1245,1311.0706,263123550.0,157944380.0,48.844284,49.15971
132.25,[253],[246],46.645966,37.401318688429036,95227.26,297.2066,,20.885326,0.21110664,0.008305228,0.12998267,0.024153655,0.14923391,0.020127475,-7.7397804,-5.8769045,0.64220136,0.21640795,48.32667,38.793728,0,10,3.7297430597817502,4.2550855,3.7368858,11.731315,13.052818,1238.9562,2.4357810020446777,43.778515,343.0857,344.474,343.3389,92.685,428.35499999999996,122.74500000000002,629.393,241.64203,2.0414553,0.67381716,23.275671,19.271982,18936.54,37900.867,4.312920631641404,2.0723088996233923,0.6105635627929676,0.30695589196402157,23.275671005249023,19.271982192993164,5.780463218688965,11.730070114135742,9689,195750,2984,22401,3589,11899,0,30,474,3783,336,278,2576,5500,2334,19089,0.00026446054,0.0001322912,0.0005330305,0.00016811072,4.8965943e-05,1.0161279e-05,0.0005436822,0.0003163656,3.905757e-06,9.553268e-07,651195.2,273880.94,1652.3691,1329.6223,261585730.0,151467630.0,43.80445,48.77835
